"","state","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","ncesID","students","county_name","city"
"1","IN","Lewis Cass Schools","64838",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1810680","1376","Cass County","Walton"
"2","AR","Rogers School District No. 30","44948",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0511970","16053","Benton County","ROGERS"
"3","AR","North Little Rock School District No. 1","145855",2020,1149960,196060000,1149960,0,0,0,76378064,0,0,0,0,0,0,0,111825471,-3459869,115285340,0,0,0,111825471,"0510680","8681","Pulaski County","NORTH LITTLE ROCK"
"4","OK","Colcord Public Schools","84865",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4008250","607","Delaware County","COLCORD"
"5","OK","Five Star Interlocal Cooperative","48680",2020,558224,0,558224,0,0,0,0,0,0,0,0,0,0,0,4255826,133396,4122430,0,0,0,4255826,"4000762","0",NA,NA
"6","OR","Sage Community School","86818",2020,0,0,0,0,0,0,0,0,0,0,0,0,10201,0,493656,240049,263808,0,0,0,503857,"99999","NA",NA,NA
"7","TN","Trenton Special School District","107516",2020,3696,0,3696,33670,0,0,0,0,0,0,0,0,0,0,703331,6677,696654,0,0,0,703331,"4704100","1331","Gibson County","Trenton"
"8","TN","West Carroll Special School District","107586",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395514,26483,369031,0,0,0,395514,"4704490","940","Carroll County","Trezevant"
"9","TN","Alcoa City Schools","106529",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270946,86733,1184213,0,0,0,1270946,"4700060","2134","Blount County","Alcoa"
"10","TN","Maryville City Schools","107153",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551575,36513,3515062,0,0,0,3551575,"4702700","5443","Blount County","Maryville"
"11","TN","Loudon County Schools","107129",2020,2874,0,2874,0,0,0,0,0,0,0,0,0,0,0,1561840,23577,1538263,0,0,0,1561840,"4702520","4876","Loudon County","Loudon"
"12","OK","Ripley School District No. 1-3","227722",2020,6497528,970000,220143,5307385,0,0,0,0,0,0,0,0,0,0,5043047,-97815,5140862,0,0,0,5043047,"4025950","456","Payne County","Ripley"
"13","TN","Polk County Schools","107324",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783013,58960,724053,0,0,0,783013,"4703450","2269","Polk County","Benton"
"14","TN","Warren County Schools","107563",2020,744,0,744,0,0,0,0,0,0,0,0,0,0,0,1851577,31952,1819625,0,0,0,1851577,"4704350","6492","Warren County","McMinnville"
"15","TN","Manchester City Schools","107142",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199136,-8153,207289,0,0,0,199136,"4702610","1475","Coffee County","Manchester"
"16","TN","South Carroll Special School District","107448",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112701,-780,113481,0,0,0,112701,"4703900","348","Carroll County","Clarksburg"
"17","TN","Blount County Schools","106593",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080846,203609,3877237,0,0,0,4080846,"4700300","10663","Blount County","Maryville"
"18","MI","Cedar Springs Public Schools","34475",2020,114824968,33634730,3711645,208773,1534090,0,60860383,0,13387501,0,1487846,756426,13626602,0,32194781,1456434,45121375,0,0,0,46577809,"2608520","3597","Kent County","CEDAR SPRINGS"
"19","MI","Chesaning Union Schools","34619",2020,55484675,21351328,1659935,29820,0,1300000,25297094,0,5449498,0,397000,480497,4143240,0,13228470,-1604325,19456532,0,0,0,17852207,"2609150","1436","Saginaw County","CHESANING"
