"","state","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","ncesID","students","county_name","city"
"160","AR","Westside Consolidated School District No. 5","229992",2021,388446,10685000,388446,0,0,0,17308483,0,0,0,0,0,0,0,22545632,1714045,20831587,0,0,0,22545632,"0504020","1814","Craighead County","JONESBORO"
"161","AZ","Catalina Foothills Unified School District No. 16","30590",2021,81477059,35016257,3741384,674834,0,0,41521273,0,0,0,523311,3661890,5929720,224759,44415414,1208061,53023722,0,0,0,54231783,"0401760","5508","Pima County","TUCSON"
"162","AR","Van Buren School District 42","98802",2021,1488097,71025000,1488097,0,0,0,61163961,0,0,0,0,0,0,0,78483654,1589928,76893726,0,0,0,78483654,"0513410","5737","Crawford County","VAN BUREN"
"163","AR","Lakeside School District No. 1","1027281",2021,3451882,1430000,3451882,0,0,0,11921971,0,0,0,0,0,0,0,14340810,-307417,14648227,0,0,0,14340810,"0508640","1002","Chicot County","LAKE VILLAGE"
"164","AR","Bismarck School District No. 25","98643",2021,152413,6875000,152413,0,0,0,9751209,0,0,0,0,0,0,0,13203657,1638886,11564771,0,0,0,13203657,"0503240","1017","Hot Spring County","BISMARCK"
"165","AZ","Gilbert Unified School District No. 41","45751",2021,475902044,146367909,27053001,978988,0,0,289115511,0,0,0,12386635,14495584,54368656,1501749,292807340,31673545,331499784,30437266,48763,0,363173329,"0403400","34651","Maricopa County","GILBERT"
"166","AZ","Agua Fria Union High School District No. 216","1027335",2021,228506048,147078112,9707448,72774,0,0,69952359,0,0,0,1695355,3920590,8609430,1912674,83262568,-1375054,99080316,0,0,0,97705262,"0400450","8359","Maricopa County","Avondale"
"167","AR","Scranton School District No. 22","98786",2021,166609,2160000,166609,7471,0,0,4205678,0,0,0,0,0,0,0,7101080,565733,6535347,0,0,0,7101080,"0512180","450","Logan County","SCRANTON"
"168","AR","Lawrence County School District","43680",2021,717020,7770000,717020,0,0,0,9157054,0,0,0,0,0,0,0,14573701,-1986014,16559715,0,0,0,14573701,"0500082","1002","Lawrence County","WALNUT RIDGE"
"169","AZ","Altar Valley Elementary School District No. 51","30596",2021,6332176,0,428171,544440,0,0,5317509,0,0,0,42056,5595,2101682,212787,7138742,693195,8765611,0,0,0,9458806,"0404770","610","Pima County","Tucson"
