"","ncesID","nces_original_name","county_name","city","state","students","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","liability_per_student","netpension_per_student","netOPEB_per_student","expenses_per_student","revenues_per_student","liability_rev_ratio"
"24","1302550","Gwinnett County","Gwinnett County","Lawrenceville","GA",180589,"70981",2021,4969131931,2014869263,1420468758,2329791563,2347712215,27516.2492233746,11157.2092597002,7865.75460299354,12901.0712889489,13000.3057495196,2.11658477527664
"25","2400480","Montgomery County Public Schools","Montgomery County","Rockville","MD",165267,"33968",2020,3663139490,554333453,2616173765,3093834900,3195067624,22164.9784288454,3354.16902950982,15829.9827854321,18720.2218228685,19332.7622816412,1.1464982657907
"26","2400480","Montgomery County Public Schools","Montgomery County","Rockville","MD",165267,"33968",2021,3461762167,464686817,2499298431,3166505574,3110988252,20946.4815540913,2811.73384281193,15122.7917914647,19159.9386084336,18824.0135780283,1.11275321106548
"27","3704720","Wake County Schools","Wake County","Cary","NC",163404,"36675",2020,2749372028,691000187,1855820546,1818653565,1970695735,16825.610315537,4228.78379354239,11357.2528579472,11129.7983219505,12060.2661807544,1.39512760857525
"28","3704720","Wake County Schools","Wake County","Cary","NC",163404,"36675",2021,2669911665,809760809,1632187418,1767842436,2000835184,16339.3286884042,4955.5751939977,9988.66256639984,10818.8443122567,12244.7136177817,1.33439859832053
"29","4816230","DALLAS ISD","Dallas County","DALLAS","TX",153861,"38892",2020,4757887523,595195671,690114814,2185683004,2323118295,30923.2848025166,3868.39856103886,4485.31345825128,14205.5686886215,15098.8118821534,2.04806080398071
"30","4816230","DALLAS ISD","Dallas County","DALLAS","TX",153861,"38892",2021,5041659137,600167381,557369210,2225354088,2343070724,32767.6223149466,3900.71155783467,3622.55028889712,14463.4058533352,15228.4901566999,2.15173152280827
"31","3702970","Charlotte-Mecklenburg Schools","Mecklenburg County","Charlotte","NC",149845,"36608",2020,2559051000,622449000,1688234000,1700351000,1799355000,17077.9872534953,4153.95241749808,11266.5354199339,11347.3989789449,12008.1083786579,1.42220462332336
"32","3702970","Charlotte-Mecklenburg Schools","Mecklenburg County","Charlotte","NC",149845,"36608",2021,2521807000,729458000,1498015000,1680698000,1936224000,16829.4370849878,4868.08368647602,9997.09700023357,11216.2434515666,12921.5122293036,1.30243556530649
"33","2400510","Prince George's County Public Schools","Prince George's County","Upper Marlboro","MD",135952,"196828",2020,3459634368,186890787,2858119000,2465093450,2405571401,25447.4694598093,1374.68214516888,21023.0007649759,18132.086692362,17694.270043839,1.43817571432792
"34","2400510","Prince George's County Public Schools","Prince George's County","Upper Marlboro","MD",135952,"196828",2021,3506700863,207678490,2911750000,2514357089,2549532338,25793.6688169354,1527.5868688949,21417.485583147,18494.4472240202,18753.1800782629,1.37542905839385
"35","4218990","Philadelphia City SD","Philadelphia County","Philadelphia","PA",130617,"87525",2020,8193140034,3571478000,179300000,3931250090,3861891368,62726.4447506833,27343.1329765651,1372.71564957088,30097.5377630783,29566.5293797898,2.12153560348412
