"","state","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","ncesID","students","county_name","city"
"1","AK","Southeast Island School District","65158",2022,4747875,0,2222771,0,0,0,2508395,0,0,2815721,16709,102148,1689120,594312,6008978,430642,7963916,0,0,0,8394558,"0200700","175","Prince of Wales-Hyder Census Area","Thorne Bay"
"2","AK","Northwest Arctic Borough School District","31582",2022,33716050,0,14563223,0,0,0,19152827,0,0,20909903,0,744313,14798127,30945717,51150098,35554595,62083660,0,0,0,97638255,"0200625","2097","Northwest Arctic Borough","Kotzebue"
"3","AK","Hoonah City School District","31606",2022,1488184,0,245710,0,0,0,1242474,0,0,1288648,0,2965,757028,242,2998239,248535,3509939,0,0,0,3758474,"0200300","127","Hoonah-Angoon Census Area","Hoonah"
"4","AK","Petersburg School District","64747",2022,3532000,0,140704,0,0,0,3328246,0,0,3927836,63050,218102,1841696,323403,7703443,1124827,8961817,0,0,0,10086644,"0200660","469","Petersburg Borough","Petersburg"
"5","AK","Dillingham City School District","31592",2022,4806471,0,963688,0,0,0,3842783,0,0,4453803,0,6871,4634487,0,8851584,-678574,14171516,0,0,0,13492942,"0200120","442","Dillingham Census Area","Dillingham"
"6","AR","Augusta School District No. 10","1027226",2022,420281,4275000,420281,0,0,0,2411498,0,0,0,0,0,0,0,7642961,658246,6984715,0,0,0,7642961,"0502670","358","Woodruff County","AUGUSTA"
"7","AK","Lake and Peninsula School District","31588",2022,6550690,0,1436512,0,0,0,5114178,0,0,5708689,0,316533,2389607,243678,14510513,91628,17368703,0,0,0,17460331,"0200485","361","Bristol Bay Borough","King Salmon"
"8","AK","Hydaburg City School District","65139",2022,2191002,0,910221,0,0,0,1239682,0,0,1327584,0,39648,2145929,0,2161999,-337220,4684796,0,0,0,4347576,"0200330","112","Prince of Wales-Hyder Census Area","Hydaburg"
"9","AK","Sitka School District","31605",2022,10210200,0,1242368,0,0,0,8825828,0,0,10595906,142004,385471,3209044,150000,20253161,2973714,21023962,0,0,0,23997676,"0200240","1203","Sitka City and Borough","Sitka"
"10","AK","Valdez City Schools","167076",2022,6847826,0,955848,0,0,0,5891978,0,0,6658533,0,18685,2984425,125000,13913026,1915046,15126090,0,0,0,17041136,"0200780","718","Valdez-Cordova Census Area","Valdez"
"11","AK","Anchorage School District","40425",2022,892284002,511210043,44758293,0,0,0,292302073,0,0,339243597,12461740,5442651,136706412,102940624,614644530,187973937,671760280,0,0,0,859734217,"0200180","46143","Anchorage Municipality","Anchorage"
"12","AK","Chugach School District","30407",2022,2554654,0,727826,0,0,0,1826828,0,0,2143049,0,110064,1392610,0,6142261,55608,7589327,0,0,0,7644935,"0200800","510","Anchorage Municipality","Anchorage"
"13","AK","Pribilof School District","30401",2022,713561,0,31825,0,0,0,681736,0,0,690976,0,47849,544181,839978,1967582,1240266,2159324,0,0,0,3399590,"0200670","65","Aleutians West Census Area","St. Paul Island"
"14","AK","Matanuska-Susitna Borough School District","31585",2022,132374617,0,15154461,0,0,0,103382873,0,0,122359856,4385862,3385069,65285661,27736,252136140,55494154,265340452,0,0,0,320834606,"200510",NA,NA,NA
"15","AK","City of St. Mary’s School District","64746",2022,3312360,0,679967,0,0,0,2587532,0,0,2616173,44861,63055,2170683,0,5325291,-542826,8101855,0,0,0,7559029,"200680",NA,NA,NA
