"","state","name.x","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","ncesID","name.y","nces_original_name","county_name","city","students"
"35","MD","The Board of Education of Montgomery County","33968",2020,3663139490,554333453,2616173765,3093834900,3195067624,"2400480","Montgomery County Public Schools","Montgomery County Public Schools","Montgomery County","Rockville",165267
"36","MD","The Board of Education of Montgomery County","33968",2021,3461762167,464686817,2499298431,3166505574,3110988252,"2400480","Montgomery County Public Schools","Montgomery County Public Schools","Montgomery County","Rockville",165267
"37","MD","The Board of Education of Montgomery County","33968",2022,3642516561,99777369,2827843426,3316534997,3377303917,"2400480","Montgomery County Public Schools","Montgomery County Public Schools","Montgomery County","Rockville",165267
"38","NC","Wake County Board of Education","36675",2020,2749372028,691000187,1855820546,1818653565,1970695735,"3704720","Wake County Board of Education","Wake County Schools","Wake County","Cary",163404
"39","NC","Wake County Board of Education","36675",2021,2669911665,809760809,1632187418,1767842436,2000835184,"3704720","Wake County Board of Education","Wake County Schools","Wake County","Cary",163404
"40","NC","Wake County Board of Education","36675",2022,2479311312,312359922,1808842283,1890940187,2291155195,"3704720","Wake County Board of Education","Wake County Schools","Wake County","Cary",163404
"41","TX","Dallas Independent School District","38892",2020,4757887523,595195671,690114814,2185683004,2323118295,"4816230","Dallas Independent School District","DALLAS ISD","Dallas County","DALLAS",153861
"42","TX","Dallas Independent School District","38892",2021,5041659137,600167381,557369210,2225354088,2343070724,"4816230","Dallas Independent School District","DALLAS ISD","Dallas County","DALLAS",153861
"43","TX","Dallas Independent School District","38892",2022,5117424277,303114994,569594378,2127179752,2378029978,"4816230","Dallas Independent School District","DALLAS ISD","Dallas County","DALLAS",153861
"44","NC","Charlotte-Mecklenburg Board of Education","36608",2020,2559051000,622449000,1688234000,1700351000,1799355000,"3702970","Charlotte-Mecklenburg Board of Education","Charlotte-Mecklenburg Schools","Mecklenburg County","Charlotte",149845
"45","NC","Charlotte-Mecklenburg Board of Education","36608",2021,2521807000,729458000,1498015000,1680698000,1936224000,"3702970","Charlotte-Mecklenburg Board of Education","Charlotte-Mecklenburg Schools","Mecklenburg County","Charlotte",149845
"46","NC","Charlotte-Mecklenburg Board of Education","36608",2022,2193102000,288326000,1678546000,1743696000,2124930000,"3702970","Charlotte-Mecklenburg Board of Education","Charlotte-Mecklenburg Schools","Mecklenburg County","Charlotte",149845
"47","MD","Prince George’s County Public Schools","196828",2020,3459634368,186890787,2858119000,2465093450,2405571401,"2400510","Prince George’S County Public Schools","Prince George's County Public Schools","Prince George's County","Upper Marlboro",135952
"48","MD","Prince George’s County Public Schools","196828",2021,3506700863,207678490,2911750000,2514357089,2549532338,"2400510","Prince George’S County Public Schools","Prince George's County Public Schools","Prince George's County","Upper Marlboro",135952
"49","PA","School District of Philadelphia","87525",2020,8193140034,3571478000,179300000,3931250090,3861891368,"4218990","School District of Philadelphia","Philadelphia City SD","Philadelphia County","Philadelphia",130617
"50","PA","School District of Philadelphia","87525",2021,8343807884,3790600000,186300000,3945983515,4010160109,"4218990","School District of Philadelphia","Philadelphia City SD","Philadelphia County","Philadelphia",130617
"51","PA","School District of Philadelphia","87525",2022,8177981593,3253100000,208300000,4272581672,4651065458,"4218990","School District of Philadelphia","Philadelphia City SD","Philadelphia County","Philadelphia",130617
"52","TX","Cypress-Fairbanks Independent School District","38984",2020,4145823676,354920841,416699640,1433416147,1382684090,"4816110","Cypress-Fairbanks Independent School District","CYPRESS-FAIRBANKS ISD","Harris County","HOUSTON",117446
"53","TX","Cypress-Fairbanks Independent School District","38984",2021,4426517127,348098746,327842108,1487393613,1418839448,"4816110","Cypress-Fairbanks Independent School District","CYPRESS-FAIRBANKS ISD","Harris County","HOUSTON",117446
"54","TX","Cypress-Fairbanks Independent School District","38984",2022,4220130011,169555630,340606217,1402098528,1445079192,"4816110","Cypress-Fairbanks Independent School District","CYPRESS-FAIRBANKS ISD","Harris County","HOUSTON",117446
"55","MD","Board of Education of Baltimore County","171323",2020,2428010000,137969000,2045949000,2125318000,1955757000,"2400120","Board of Education of Baltimore County","Baltimore County Public Schools","Baltimore County","Towson",115038
"56","MD","Board of Education of Baltimore County","171323",2021,2788047000,116025000,2420620000,2163344000,1948422000,"2400120","Board of Education of Baltimore County","Baltimore County Public Schools","Baltimore County","Towson",115038
"57","MD","Board of Education of Baltimore County","171323",2022,2205773000,98387000,1746250000,2065036000,2024680000,"2400120","Board of Education of Baltimore County","Baltimore County Public Schools","Baltimore County","Towson",115038
"58","TN","Board of Education of Shelby County","87787",2020,958891499,181063,879359591,1162335680,1336828018,"4700148","Board of Education of Shelby County","Shelby County","Shelby County","Memphis",113198
"59","TN","Board of Education of Shelby County","87787",2021,1224370835,27221,1130535591,1332786133,1375925703,"4700148","Board of Education of Shelby County","Shelby County","Shelby County","Memphis",113198
"60","TN","Board of Education of Shelby County","87787",2022,0,0,0,0,0,"4700148","Board of Education of Shelby County","Shelby County","Shelby County","Memphis",113198
"61","GA","Cobb County School District","70971",2020,2217236000,1158513000,755723000,1465479000,1517922000,"1301290","Cobb County School District","Cobb County","Cobb County","Marietta",112097
"62","GA","Cobb County School District","70971",2021,2554459000,1350882000,909504000,1531381000,1586245000,"1301290","Cobb County School District","Cobb County","Cobb County","Marietta",112097
"63","GA","Cobb County School District","70971",2022,1478270000,497854000,677878000,1398684000,1702635000,"1301290","Cobb County School District","Cobb County","Cobb County","Marietta",112097
"64","TX","Northside Independent School District","38820",2020,3032820362,330423641,386107674,1297554866,1322943080,"4833120","Northside Independent School District","NORTHSIDE ISD","Bexar County","SAN ANTONIO",107817
"65","TX","Northside Independent School District","38820",2021,3133192193,304096292,298608482,1279234386,1314426478,"4833120","Northside Independent School District","NORTHSIDE ISD","Bexar County","SAN ANTONIO",107817
"66","TX","Northside Independent School District","38820",2022,3044379243,137638982,288188237,1245917923,1402718826,"4833120","Northside Independent School District","NORTHSIDE ISD","Bexar County","SAN ANTONIO",107817
"67","FL","School District of Polk County","98989",2020,1056455681,501853478,33902309,1118958295,1149637602,"1201590","School District of Polk County","POLK","Polk County","BARTOW",102952
"68","FL","School District of Polk County","98989",2021,1155033120,584171515,35381443,1158981177,1162151131,"1201590","School District of Polk County","POLK","Polk County","BARTOW",102952
"69","FL","School District of Polk County","98989",2022,815147783,250868681,48799141,1252803438,1400686936,"1201590","School District of Polk County","POLK","Polk County","BARTOW",102952
"70","CA","San Diego Unified School District","146593",2020,6421488110,1449568000,135880213,1875674718,1987911916,"0634320","San Diego Unified School District","San Diego Unified","San Diego County","San Diego",102270
"71","CA","San Diego Unified School District","146593",2021,7331466923,1546135000,143083016,1986798898,2113720564,"0634320","San Diego Unified School District","San Diego Unified","San Diego County","San Diego",102270
"72","CA","San Diego Unified School District","146593",2022,6939382611,803920000,136132998,1965428482,2348998159,"0634320","San Diego Unified School District","San Diego Unified","San Diego County","San Diego",102270
"73","KY","Jefferson County Board of Education","33679",2020,1662666688,534348849,431036181,1591239863,1572818250,"2102990","Jefferson County Board of Education","Jefferson County","Jefferson County","Louisville",100348
"74","KY","Jefferson County Board of Education","33679",2021,1717633170,560507654,440641271,1695673893,1697883445,"2102990","Jefferson County Board of Education","Jefferson County","Jefferson County","Louisville",100348
"75","KY","Jefferson County Board of Education","33679",2022,1579546957,443185785,355914935,1891467349,2188616640,"2102990","Jefferson County Board of Education","Jefferson County","Jefferson County","Louisville",100348
"76","FL","District School Board of Pinellas County","69989",2020,931076698,608061187,52281715,1165276481,1129321171,"1201560","District School Board of Pinellas County","PINELLAS","Pinellas County","LARGO",99772
"77","FL","District School Board of Pinellas County","69989",2021,1143065408,720789781,58611005,1243482809,1243306424,"1201560","District School Board of Pinellas County","PINELLAS","Pinellas County","LARGO",99772
"78","FL","District School Board of Pinellas County","69989",2022,736047671,305861431,61258742,1169154119,1243545374,"1201560","District School Board of Pinellas County","PINELLAS","Pinellas County","LARGO",99772
"79","GA","Dekalb County Board of Education","105280",2020,2301940046,1122765085,770250780,1431948985,1466773135,"1301740","Dekalb County Board of Education","DeKalb County","DeKalb County","DECATUR",98800
"80","GA","Dekalb County Board of Education","105280",2021,2544087876,1281485515,914081630,1438897061,1495935328,"1301740","Dekalb County Board of Education","DeKalb County","DeKalb County","DECATUR",98800
"81","GA","Dekalb County Board of Education","105280",2022,1410439661,458069789,674481213,1366999080,1754322007,"1301740","Dekalb County Board of Education","DeKalb County","DeKalb County","DECATUR",98800
"82","FL","The School District of Lee County","32402",2020,1278007845,486925058,50552528,1102540344,1150757420,"1201080","The School District of Lee County","LEE","Lee County","FORT MYERS",95613
"83","FL","The School District of Lee County","32402",2021,1306480223,567716145,51818919,1134216279,1211807028,"1201080","The School District of Lee County","LEE","Lee County","FORT MYERS",95613
"84","FL","The School District of Lee County","32402",2022,946684313,246395024,52461989,1168900535,1382279297,"1201080","The School District of Lee County","LEE","Lee County","FORT MYERS",95613
"85","GA","Fulton County Board of Education","70979",2020,1976650177,1091755582,660783856,1317115866,1409931971,"1302280","Fulton County Board of Education","Fulton County","Fulton County","Atlanta",93897
"86","GA","Fulton County Board of Education","70979",2021,2121528100,1125485679,779381586,1312886363,1393108013,"1302280","Fulton County Board of Education","Fulton County","Fulton County","Atlanta",93897
"87","GA","Fulton County Board of Education","70979",2022,1272945793,481981956,578951041,1275648325,1611502864,"1302280","Fulton County Board of Education","Fulton County","Fulton County","Atlanta",93897
"88","NM","Albuquerque Municipal School District No. 12","35931",2020,2397848787,1284568723,363064860,572543455,1131467933,"3500060","Albuquerque Municipal School District No. 12","ALBUQUERQUE PUBLIC SCHOOLS","Bernalillo County","ALBUQUERQUE",88312
"89","NM","Albuquerque Municipal School District No. 12","35931",2021,4771504689,3536282260,485256883,1868948339,1120662608,"3500060","Albuquerque Municipal School District No. 12","ALBUQUERQUE PUBLIC SCHOOLS","Bernalillo County","ALBUQUERQUE",88312
"90","NM","Albuquerque Municipal School District No. 12","35931",2022,2349381349,1208673186,372367571,1162855785,1207207943,"3500060","Albuquerque Municipal School District No. 12","ALBUQUERQUE PUBLIC SCHOOLS","Bernalillo County","ALBUQUERQUE",88312
"91","MD","Board of Education of Anne Arundel County","41282",2020,2182951319,64243619,1859904000,1405044746,1481594562,"2400060","Anne Arundel County Board of Education","Anne Arundel County Public Schools","Anne Arundel County","Annapolis",84984
"92","MD","Board of Education of Anne Arundel County","41282",2021,2408740296,76712926,2064794000,1440838073,1460219112,"2400060","Anne Arundel County Board of Education","Anne Arundel County Public Schools","Anne Arundel County","Annapolis",84984
"93","MD","Board of Education of Anne Arundel County","41282",2022,2579835716,59724128,2234317354,1541721301,1668980363,"2400060","Anne Arundel County Board of Education","Anne Arundel County Public Schools","Anne Arundel County","Annapolis",84984
"94","CO","Jefferson County School District","32057",2020,2353743121,1347298359,66246238,731016376,1017567920,"0804800","Jefferson County School District No R-1","Jefferson County School District No. R-1","Jefferson County","GOLDEN",84078
"95","CO","Jefferson County School District","32057",2021,2761721373,1523282578,55380519,588685435,982180796,"0804800","Jefferson County School District No R-1","Jefferson County School District No. R-1","Jefferson County","GOLDEN",84078
"96","CO","Jefferson County School District","32057",2022,2221930001,1032420784,49949079,566942357,980930517,"0804800","Jefferson County School District No R-1","Jefferson County School District No. R-1","Jefferson County","GOLDEN",84078
"97","UT","Alpine School District","39330",2020,1059030997,185909219,66222363,768957816,758243762,"4900030","Alpine School District","Alpine District","Utah County","AMERICAN FORK",83540
"98","UT","Alpine School District","39330",2021,943091448,114028597,51252537,737124522,827245124,"4900030","Alpine School District","Alpine District","Utah County","AMERICAN FORK",83540
"99","UT","Alpine School District","39330",2022,809933690,0,59817996,766987776,922755140,"4900030","Alpine School District","Alpine District","Utah County","AMERICAN FORK",83540
"100","TX","Katy Independent School District","38990",2020,2787669152,223796599,281189550,1072886090,1089968833,"4825170","Katy Independent School District","KATY ISD","Fort Bend County","KATY",83423
"101","TX","Katy Independent School District","38990",2021,2638649634,239987931,232773193,1091806035,1099696832,"4825170","Katy Independent School District","KATY ISD","Fort Bend County","KATY",83423
"102","TX","Katy Independent School District","38990",2022,2922065682,120591481,244188502,1105704784,1171057117,"4825170","Katy Independent School District","KATY ISD","Fort Bend County","KATY",83423
"103","TX","Fort Worth Independent School District","39194",2020,2010513068,305150969,352419124,1074969265,1118553390,"4819700","Fort Worth Independent School District","FORT WORTH ISD","Tarrant County","FORT WORTH",82891
"104","TX","Fort Worth Independent School District","39194",2021,1995676293,284706401,269695599,1048582970,1193433536,"4819700","Fort Worth Independent School District","FORT WORTH ISD","Tarrant County","FORT WORTH",82891
