"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"5698","TX","Lytle Independent School District",NA,38796,2021,"School District",38783082,25058447,2351724,70250,0,168000,5619512,0,5515149,0,0,96685,5861025,0,17945795,-36593,23940098,0,0,0,23903505,FALSE
"5699","TX","Mcallen Independent School District",NA,42615,2021,"School District",287689978,0,33721309,0,0,0,69118556,0,73464651,0,0,3897536,61707025,0,221139025,1000552,285743034,0,0,0,286743586,FALSE
"5700","TX","Meyersville Independent School District",NA,163788,2021,"School District",806923,0,108592,0,0,0,330224,0,368107,0,0,35147,265815,0,2005804,352551,1954215,0,0,0,2306766,FALSE
"5701","TX","Martinsville Independent School District",NA,163774,2021,"School District",6657789,3475000,975428,36635,27857,0,853495,0,1289374,0,0,22521,514882,0,5492256,846131,5183528,0,0,0,6029659,FALSE
"5702","TX","Mason Independent School District",NA,163775,2021,"School District",8530323,3068830,560541,0,102266,0,1782822,0,2457463,0,0,252414,813442,0,9917086,374230,10608712,0,0,0,10982942,FALSE
"5703","TX","Milano Independent School District",NA,229938,2021,"School District",10233801,6293116,944432,0,0,275000,1292639,0,1428614,0,0,202183,877680,0,5876566,-164,6956593,0,0,0,6956429,FALSE
"5704","TX","Miami Independent School District",NA,163789,2021,"School District",22039086,20338659,464700,0,0,0,650557,0,585170,0,0,116729,250319,0,5352517,-211117,5930682,0,0,0,5719565,FALSE
"5705","TX","Marathon Independent School District",NA,163771,2021,"School District",1361811,0,683882,22742,0,0,293632,0,361555,0,0,6000,142759,0,1692508,37456,1803811,0,0,0,1841267,FALSE
"5706","TX","Mildred Independent School District",NA,163793,2021,"School District",22548433,18359075,582490,54608,0,64973,1612543,0,1874744,0,0,337914,1109012,0,10239339,2037614,9648651,0,0,0,11686265,FALSE
"5707","TX","Midland Independent School District",NA,39098,2021,"School District",505768311,185785217,185235049,0,0,0,70809956,0,63938089,0,0,3248988,48378978,1853932,462371447,62020785,453832560,0,0,0,515853345,FALSE
