"","ncesID","nces_original_name","county_name","city","state","students"
"1516","3611640","FRIENDSHIP CENTRAL SCHOOL DISTRICT","Allegany County","FRIENDSHIP","NY",350
"1517","2915510","IRON CO. C-4","Iron County","VIBURNUM","MO",350
"1518","2923130","ORAN R-III","Scott County","ORAN","MO",350
"1519","5900128","Shonto Preparatory School","Navajo County","Shonto","AZ",350
"1520","2011760","Solomon","Dickinson County","Solomon","KS",350
"1521","5503810","Drummond Area School District","Bayfield County","Drummond","WI",349
"1522","3200180","EUREKA COUNTY SCHOOL DISTRICT","Eureka County","EUREKA","NV",349
"1523","2915300","HUMANSVILLE R-IV","Polk County","HUMANSVILLE","MO",349
"1524","2922710","NORTH ANDREW CO. R-VI","Andrew County","ROSENDALE","MO",348
"1525","3800048","RICHARDTON-TAYLOR 34","Stark County","Richardton","ND",348
"1526","2000029","Rock Hills","Jewell County","Mankato","KS",348
"1527","2717940","Laporte Public School District","Hubbard County","LAPORTE","MN",347
"1528","2011820","Spearville","Ford County","Spearville","KS",347
"1529","2929820","SUNRISE R-IX","Jefferson County","DESOTO","MO",347
"1530","0691063","Del Norte County Office of Education","Del Norte County","Crescent City","CA",346
"1531","2926790","ROCK PORT R-II","Atchison County","Rock Port","MO",346
"1532","2005040","Comanche County","Comanche County","Coldwater","KS",345
"1533","0804560","Haxtun School District No. Re-2J","Phillips County","HAXTUN","CO",345
"1534","2003210","North Lyon County","Lyon County","Americus","KS",345
"1535","2925590","PRINCETON R-V","Mercer County","PRINCETON","MO",345
"1536","2615600","Engadine Consolidated Schools","Mackinac County","ENGADINE","MI",344
"1537","3304290","Lisbon Regional School District","Grafton County","Littleton","NH",344
"1538","2918360","LEETON R-X","Johnson County","LEETON","MO",343
"1539","3501590","LOGAN MUNICIPAL SCHOOLS","Quay County","LOGAN","NM",343
"1540","3305400","Northumberland School District","Coos County","Groveton","NH",343
"1541","3603060","SCHENEVUS CENTRAL SCHOOL DISTRICT","Otsego County","SCHENEVUS","NY",343
"1542","2929940","TARKIO R-I","Atchison County","TARKIO","MO",343
"1543","4104410","Dufur SD 29","Wasco County","Dufur","OR",342
"1544","3305370","North Hampton School District","Rockingham County","Hampton","NH",342
"1545","5900025","Turtle Mountain Middle School","Rolette County","Belcourt","ND",342
"1546","2000348","Doniphan West Schools","Doniphan County","Highland","KS",341
"1547","3619890","MORRISTOWN CENTRAL SCHOOL DISTRICT","St. Lawrence County","MORRISTOWN","NY",341
"1548","3626190","SCIO CENTRAL SCHOOL DISTRICT","Allegany County","SCIO","NY",341
"1549","4620100","Eagle Butte School District 20-1","Ziebach County","Eagle Butte","SD",340
"1550","4210530","Galeton Area SD","Potter County","Galeton","PA",340
"1551","4677460","Wessington Springs School District 36-2","Jerauld County","Wessington Springs","SD",340
"1552","3003840","Bigfork H S","Flathead County","Bigfork","MT",339
"1553","1601410","HANSEN DISTRICT","Twin Falls County","HANSEN","ID",339
"1554","2916920","LA MONTE R-IV","Pettis County","LA MONTE","MO",339
"1555","5513830","Shullsburg School District","Lafayette County","Shullsburg","WI",339
"1556","2738280","SWANVILLE PUBLIC SCHOOL DISTRICT","Morrison County","SWANVILLE","MN",339
"1557","5500120","Albany School District","Green County","Albany","WI",338
"1558","0401080","Beaver Creek Elementary District (4481)","Yavapai County","RIMROCK","AZ",338
"1559","2302730","Baileyville Public Schools","Washington County","Baileyville","ME",337
"1560","2302850","Bar Harbor Public Schools","Hancock County","Mount Desert","ME",337
"1561","0600007","CA Sch for the Deaf-Riverside (State Special Schl)","Riverside County","Riverside","CA",337
"1562","5900164","Chemawa Indian School","Marion County","Salem","OR",337
"1563","3302400","Colebrook School District","Coos County","Colebrook","NH",337
"1564","2626940","Dollar Bay-Tamarack City Area K-12 School","Houghton County","Dollar Bay","MI",336
"1565","2008100","Kinsley-Offerle","Edwards County","Kinsley","KS",336
"1566","0806600","Big Sandy School District No. 100J","Elbert County","SIMLA","CO",335
"1567","2709690","CROMWELL-WRIGHT PUBLIC SCHOOLS","Carlton County","CROMWELL","MN",335
"1568","3022800","Ronan H S","Lake County","Ronan","MT",335
"1569","1701433","B H R A Cooperative HS","Vermilion County","Bismarck","IL",334
"1570","1600690","CASTLEFORD DISTRICT","Twin Falls County","CASTLEFORD","ID",334
"1571","2916590","KING CITY R-I","Gentry County","KING CITY","MO",334
"1572","5900177","T'iis Ts'ozi Bi'Olta'","McKinley County","Crownpoint","NM",334
"1573","5517130","Wonewoc-Union Center School District","Juneau County","Wonewoc","WI",334
"1574","2004950","Clifton-Clyde","Cloud County","Clyde","KS",333
"1575","3008340","Dawson H S","Dawson County","Glendive","MT",333
"1576","5509900","Monticello School District","Green County","Monticello","WI",333
"1577","4655710","Plankinton School District 01-1","Aurora County","Plankinton","SD",333
"1578","1300254","State Schools","Fulton County","Atlanta","GA",333
"1579","5509390","Stone Bank School District","Waukesha County","Oconomowoc","WI",333
"1580","5900161","Many Farms High School","Apache County","Many Farms","AZ",332
"1581","2010170","Onaga-Havensville-Wheaton","Pottawatomie County","Onaga","KS",332
"1582","2916950","LA PLATA R-II","Macon County","LA PLATA","MO",331
"1583","5512090","Potosi School District","Grant County","Potosi","WI",331
"1584","5512300","Princeton School District","Green Lake County","Princeton","WI",331
"1585","0408230","Superior Unified School District (4440)","Pinal County","SUPERIOR","AZ",331
"1586","5500075","Herman-Neosho-Rubicon School District","Dodge County","Neosho","WI",330
"1587","4638220","Kimball School District 07-2","Brule County","Kimball","SD",330
"1588","2304860","Dayton Public Schools","York County","Biddeford","ME",329
"1589","3501770","MAGDALENA MUNICIPAL SCHOOLS","Socorro County","MAGDALENA","NM",329
"1590","4621420","Bridgewater-Emery 30-3","McCook County","Bridgewater","SD",328
"1591","2304895","Deer Isle-Stonington CSD","Hancock County","Deer Isle","ME",328
"1592","1738490","V I T CUSD 2","Fulton County","Table Grove","IL",328
"1593","5502580","Clayton School District","Polk County","Clayton","WI",327
"1594","2919380","MACKS CREEK R-V","Camden County","MACKS CREEK","MO",327
"1595","0691111","San Francisco County Office of Education","San Francisco County","San Francisco","CA",327
"1596","2903120","APPLETON CITY R-II","St. Clair County","APPLETON CITY","MO",326
"1597","1600180","BASIN SCHOOL DISTRICT","Boise County","IDAHO CITY","ID",326
"1598","0620760","Lakeside Union Elementary","Kings County","Hanford","CA",326
"1599","4625500","Freeman School District 33-1","Hutchinson County","Freeman","SD",325
"1600","5509300","North Lake School District","Waukesha County","North Lake","WI",325
"1601","0805910","South Routt School District No. Re 3","Routt County","OAK CREEK","CO",325
"1602","2004470","Waconda","Mitchell County","Cawker City","KS",325
"1603","2010290","Osborne County","Osborne County","Osborne","KS",324
"1604","2010920","Pretty Prairie","Reno County","Pretty Prairie","KS",324
"1605","3023900","Shelby Elem","Toole County","Shelby","MT",324
"1606","5900046","Alamo Navajo Community School","Socorro County","Alamo","NM",323
"1607","2910590","BUCHANAN CO. R-IV","Buchanan County","DEKALB","MO",323
"1608","1600720","CHALLIS JOINT DISTRICT","Custer County","CHALLIS","ID",322
