"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"1","WA","Riverside School District No. 416",NA,49179,2020,"School District",485429,0,485429,72357,0,0,5572459,0,0,0,419487,0,0,0,22107046,700860,21406186,0,0,0,22107046,FALSE
"2","OH","Bellbrook-Sugarcreek Local School District",NA,49163,2020,"School District",74584547,31706556,3182115,2399000,0,0,32311019,0,2765589,1937173,2220268,2307175,1314731,95367,31549871,-1686225,36953369,0,0,0,35267144,FALSE
"3","IL","Whiteside School District No. 115",NA,46275,2020,"School District",1856247,0,693247,0,1163000,0,1122528,0,0,0,0,0,0,0,13417393,-2199969,15617362,0,0,0,13417393,FALSE
"4","WA","North Thurston Public Schools",NA,49125,2020,"School District",7272454,295625000,7272454,0,0,0,65702426,0,0,0,5524700,0,0,0,382542196,124712859,257829337,0,0,0,382542196,FALSE
"5","TX","Whitesboro Independent School District",NA,38962,2020,"School District",19361016,7087465,864246,0,1696780,0,3815341,0,5897184,0,0,594925,3084799,0,17814503,1196408,20297819,0,0,0,21494227,FALSE
"6","PA","Iroquois School District",NA,49321,2020,"School District",55988606,23217198,3699612,0,0,0,26105000,0,2591926,0,374870,550523,14881837,0,6854604,-1135431,23422395,0,0,0,22286964,FALSE
"7","PA","Northwestern Lehigh School District",NA,49457,2020,"School District",125543792,47758366,6734733,0,0,0,64412295,0,6038862,0,599536,554246,7894921,360765,36573696,-858691,46242319,309696,288107,0,45383628,FALSE
"8","TX","Wimberley Independent School District",NA,49507,2020,"School District",134994230,114499437,4699925,0,0,0,6937964,0,8856904,0,0,1249560,3737874,0,31882052,-4734319,41603805,0,0,0,36869486,FALSE
"9","CA","Lennox School District",NA,146305,2020,"School District",184376582,41332933,16877650,2498536,8000000,0,77959934,0,32710866,0,435971,37031,19101262,1080,66291444,2502898,82927919,0,0,0,85430817,FALSE
"10","OH","Ontario Local School District",NA,49412,2020,"School District",33335641,5049570,2127662,1918830,0,1026954,20055153,0,1800255,1164513,0,3680268,1966749,18814,15813773,-793395,22272999,0,0,0,21479604,FALSE
"11","OH","East Knox Local School District",NA,49493,2020,"School District",40190807,28662176,1118814,126728,0,0,8975844,0,885882,508654,421363,1040858,1553763,15000,14352454,3011341,13950734,0,0,0,16962075,FALSE
"12","TX","Meridian Independent School District",NA,49564,2020,"School District",12910630,6230605,1085891,0,0,0,2161651,0,3432483,0,0,964104,1523809,0,5634837,-488929,8611679,0,0,0,8122750,FALSE
"13","GU","Guam Department of Education",NA,49402,2020,"School District",1411001490,0,25023216,161541271,0,0,457358525,0,752994530,0,14083948,582062,71545560,0,248337827,-24611151,345076600,0,0,0,320465449,FALSE
"14","PA","South Middleton School District",NA,49647,2020,"School District",89049476,34628233,4159325,0,0,0,45473000,0,4085550,0,703368,962345,7050918,0,31246983,3738840,35521406,0,0,0,39260246,FALSE
"15","PA","Annville-Cleona School District",NA,49449,2020,"School District",68325033,26917022,3732130,106155,0,0,32841391,0,4161415,0,516865,365848,4939662,0,21100956,1489036,24917430,0,0,0,26406466,FALSE
"16","PA","Westmont Hilltop School District",NA,49679,2020,"School District",67019473,29005000,3248735,0,0,0,30502000,0,2864000,0,760736,401054,4774815,296730,17894358,405877,22961080,279337,442046,0,23366957,FALSE
"17","AL","Elba City Board of Education",NA,49861,2020,"School District",10179528,0,732215,1077606,0,66949,5702000,0,2600758,0,0,530842,5219145,239534,1539352,361794,7167079,0,0,0,7528873,FALSE
"18","NH","Goffstown School District",NA,49877,2020,"School District",40552713,1120000,1912668,1850565,0,0,31713527,0,2723453,0,1232500,7796497,1834650,269196,34572675,-1348075,45821093,0,0,0,44473018,FALSE
"19","OH","Aurora City School District",NA,50019,2020,"School District",75708942,14987644,4356234,321833,0,0,45203049,0,3968519,2683939,3013305,1638747,1434555,0,42089976,72254,45091024,0,0,0,45163278,FALSE
"20","CA","South Bay Union School District (San Diego County)",NA,31422,2020,"School District",195243580,68827267,10177747,435582,0,0,92258534,0,23098306,0,446144,2584787,14574194,0,91550684,-5261134,113970799,0,0,0,108709665,FALSE
"21","NH","Londonderry, New Hampshire School District","30300801900000",81900,2020,"School District",83780582,8042303,2581429,428376,0,0,58628088,0,10010552,0,4089834,2489433,2759631,524694,74266965,-847680,80888403,0,0,0,80040723,FALSE
