"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"22","OH","Canfield Local School District",NA,50071,2020,"School District",40447506,0,2266159,0,0,538286,31348149,0,2919238,1837986,3375674,947217,1196264,9000,29545263,-1811395,33509139,0,0,0,31697744,FALSE
"23","WI","Chequamegon School District",NA,54064,2020,"School District",3044097,100000,1097010,0,0,0,0,1085752,1485311,0,361776,554321,1777982,0,9928225,315661,11944867,0,0,0,12260528,FALSE
"24","KS","Unified School District 308",NA,33541,2020,"School District",0,51745000,0,0,0,0,46672719,0,0,0,0,0,0,0,86523810,-1848829,88372639,0,0,0,86523810,FALSE
"25","KS","Unified School District 257",NA,33477,2020,"School District",0,35040000,0,126781,0,0,9772654,0,0,0,0,0,0,0,23839039,-1409209,25248248,0,0,0,23839039,FALSE
"26","IL","Will County School District 92",NA,50815,2020,"School District",5069606,5069606,0,0,0,0,4898961,0,3091488,0,0,255120,10902020,17055,25577975,1669359,35082811,0,0,0,36752170,FALSE
"27","IL","Reavis High School District Number 220",NA,50799,2020,"School District",72040217,72040217,0,0,0,0,3153061,0,17672736,0,0,919070,2105502,0,34117659,-203681,37345912,0,0,0,37142231,FALSE
"28","TX","Edcouch-Elsa Independent School District",NA,39014,2020,"School District",79708467,31207169,4908334,0,0,6188083,15747672,0,21383102,0,111775,1761781,13555471,0,51315500,-827484,67460236,0,0,0,66632752,FALSE
"29","CO","Lewis-Palmer School District 38",NA,50907,2020,"School District",147119852,50779000,8331246,0,0,0,81605464,0,4012283,0,2230513,1891409,7040294,82585,65231498,19067660,55178126,0,0,0,74245786,FALSE
"30","TX","Center Point Independent School District",NA,50936,2020,"School District",5888773,845655,308114,0,0,441000,1930587,0,2363417,0,0,70973,1257751,0,7135640,325578,8138786,0,0,0,8464364,FALSE
"31","TX","La Porte Independent School District",NA,38992,2020,"School District",460331418,353695936,49956061,0,0,0,26357300,0,29081453,0,1240668,1389395,9666866,0,159647772,7363248,163340785,895270,0,0,170704033,FALSE
"32","OH","Avon Local School District",NA,51164,2020,"School District",135854493,57524273,6044552,619995,0,17500000,46129845,0,4391560,2691837,3644268,2556602,3819359,177970,49750572,266607,56037896,0,0,0,56304503,FALSE
"33","OH","Gallia-Vinton Educational Service Center",NA,51041,2020,"School District",6431422,0,112909,0,0,0,5585010,0,729817,291001,3686,6090796,455000,0,2232041,-159766,8937603,0,0,0,8777837,FALSE
"34","AR","Genoa Central School District No. 1",NA,51148,2020,"School District",37846,11885000,37846,19023,0,0,8307655,0,0,0,0,0,0,0,18757632,5910940,12846692,0,0,0,18757632,FALSE
"35","MS","Forest Municipal School District",NA,44362,2020,"School District",26785358,0,968529,0,0,1104000,21171236,0,1466427,0,120166,124158,2742690,0,12750052,-442021,16058921,0,0,0,15616900,FALSE
"36","CA","Rio Bravo-Greeley Union School District",NA,51579,2020,"School District",27406212,9443037,765987,0,0,0,10584872,0,1686340,0,86495,182192,2336432,0,14064241,4121649,12461216,0,0,0,16582865,FALSE
"37","TX","Buna Independent School District",NA,51557,2020,"School District",36936064,20872355,1426224,0,0,1480000,4830982,0,8326503,0,0,1241170,2687105,0,16896758,1019915,19805118,0,0,0,20825033,FALSE
"38","MS","George County School District",NA,35007,2020,"School District",72963643,8305000,1400652,0,0,582511,58481875,0,3894739,0,298866,1001624,6845473,0,28889136,-3581431,40317664,0,0,0,36736233,FALSE
"39","TX","Natalia Independent School District",NA,51549,2020,"School District",23345462,11083189,1732247,174847,1946974,0,3950968,0,4457237,0,0,150050,1644329,0,13646318,838400,14602297,0,0,0,15440697,FALSE
"40","CA","Norris Elementary School District",NA,51682,2020,"School District",123077943,77214832,4524683,0,5663510,0,35493370,0,0,0,181548,460141,6631486,0,51884223,7871312,51104538,0,0,0,58975850,FALSE
"41","PA","Hanover Public School District",NA,38191,2020,"School District",74414188,17917798,4162952,0,0,0,47531130,0,4189484,0,612824,322889,6863208,412598,28813784,1154458,35258021,0,0,0,36412479,FALSE
"42","WA","Eastmont School District No. 206",NA,44227,2020,"School District",3377587,38910000,3377587,328528,0,0,25444412,0,0,0,2352843,0,0,0,100798461,3454481,97343980,0,0,0,100798461,FALSE
"43","CA","Lincoln Unified School District",NA,146310,2020,"School District",253971308,117893125,11382073,0,0,0,103750616,0,11490853,0,304641,728663,20853859,945963,105992461,-3376736,131897682,2169,766168,0,128520946,FALSE
"44","PA","Karns City Area School District",NA,46324,2020,"School District",47269290,0,3661891,561662,0,0,34392000,0,8590330,0,63407,542304,7481637,0,17237104,132195,25128850,0,0,0,25261045,FALSE
"45","AR","Ozark Mountain School District",NA,51995,2020,"School District",157319,1480000,157319,66162,0,0,6097428,0,0,0,0,0,0,0,8336887,614154,7722733,0,0,0,8336887,FALSE
"46","CA","Lake County Office of Education",NA,31685,2020,"School District",15666347,0,4212548,0,0,0,11292950,0,0,0,160849,1677496,12049505,0,7512639,-443507,21683147,0,0,0,21239640,FALSE
"47","WA","Educational Service District No. 123",NA,40490,2020,"School District",17818329,3384000,1552316,0,0,0,3718336,0,4144171,0,370488,0,0,0,28482176,2130935,26351242,2250555305,0,0,2250555305,FALSE
"48","LA","Zachary Community School Board",NA,52036,2020,"School District",209490707,70447525,4938150,0,0,0,59973513,0,69008634,0,5122885,1027943,4845798,0,69835801,2138223,73571319,0,0,0,75709542,FALSE
"49","CA","Napa County Office of Education",NA,31698,2020,"School District",46201749,0,11126605,0,504000,0,34217557,0,0,289982,353587,8399632,24786411,0,11042206,-991047,45219296,0,0,0,44228249,FALSE
"50","TN","Union City Board of Education",NA,52199,2020,"School District",9602332,5886623,104386,0,0,2187000,116351,2007404,1307972,0,0,228049,11471320,0,6694914,1993074,16401209,0,0,0,18394283,FALSE
"51","TX","Olney Independent School District",NA,39262,2020,"School District",12326899,5297455,827728,0,0,0,2519624,0,3682092,0,0,592693,2301540,101376,8713793,65558,11643844,0,0,0,11709402,FALSE
"52","IA","Great Prairie Area Education Agency",NA,52626,2020,"School District",18464375,0,4181419,0,0,0,13236182,0,857524,0,189250,1139474,12028860,0,14230299,-493699,27892332,0,0,0,27398633,FALSE
"53","FL","Biscayne High School",NA,68624,2020,"School District",477154,0,164141,0,0,0,292269,0,0,0,0,0,20835,94895,1343018,80130,1378618,0,0,0,1458748,FALSE
"54","TX","Hutto Independent School District",NA,52805,2020,"School District",436237363,368961084,20477594,541949,0,0,20375481,0,25881255,0,0,3018828,12736248,0,89411086,8344272,96821890,0,0,0,105166162,FALSE
"55","MS","Greenville Public School District",NA,35086,2020,"School District",81786998,5525000,2147695,228787,0,0,68762096,0,4786460,0,336960,424150,12268140,0,33584622,2445705,43831207,0,0,0,46276912,FALSE
"56","NH","Seabrook School District",NA,52906,2020,"School District",13055736,675728,161915,0,0,0,10576988,0,1315747,0,325358,166969,843121,37602,14068173,-246039,15361904,0,0,0,15115865,FALSE
"57","PA","Lakeview School District",NA,53146,2020,"School District",39052492,10254990,2197614,0,0,0,24187000,0,2159000,0,253888,183129,4994923,393257,12469822,-1025003,19066134,0,0,0,18041131,FALSE
"58","NY","Rochester City School District",NA,52983,2020,"School District",2093344256,725599517,122242389,0,8385487,37850000,61644392,44745114,1051932046,0,4817499,2064766,116401761,0,802186230,-40151367,960804124,0,0,0,920652757,FALSE
"59","NJ","Leonia Board of Education",NA,53144,2020,"School District",28737979,17417935,1445243,2191911,0,0,7224080,0,0,0,458810,9533570,9913492,11440,25109944,489599,44078847,0,0,0,44568446,FALSE
"60","WA","Ellensburg School District No. 401",NA,39653,2020,"School District",5594278,75505000,5594278,0,0,0,13088538,0,0,0,1372772,0,0,0,55519015,-13920829,69439844,0,0,0,55519015,FALSE
"61","MS","Harrison County School District",NA,42863,2020,"School District",307281539,71133162,4469299,0,0,12616800,205225670,0,13100255,0,736353,4458098,22366233,4044132,129948458,3013893,157803028,0,0,0,160816921,FALSE
"62","MS","Hattiesburg Public School District",NA,35003,2020,"School District",102085389,27665000,4813790,0,0,1870000,63199691,0,4115437,0,421471,421226,11384033,41595,39774665,9211002,42410517,0,0,0,51621519,FALSE
"63","IL","Community Consolidated School District 181",NA,53271,2020,"School District",151493088,85332980,9696155,1029293,3020000,0,9009589,0,43246661,0,158410,2114080,31824104,0,75265767,9876349,99327602,0,0,0,109203951,FALSE
"64","TX","Weimar Independent School District",NA,53425,2020,"School District",21921871,16402968,1107904,0,0,0,1742400,0,2668599,0,0,276865,1360201,0,8464629,818549,9283146,0,0,0,10101695,FALSE
"65","NY","West Islip Union Free School District",NA,36419,2020,"School District",271059668,47437875,8180565,0,0,37385000,8724210,7792148,156586532,0,8326824,2317228,2457596,0,122016417,-7214028,134005269,0,0,0,126791241,FALSE
"66","CA","Live Oak School District",NA,146316,2020,"School District",58631094,13456510,2687274,1810936,105000,0,25688545,0,2163846,0,181080,97788,5785812,0,22922107,-163762,28969469,0,0,0,28805707,FALSE
"67","WI","Waterford Graded School District Joint No.1",NA,53327,2020,"School District",31325722,10887049,5201866,0,0,13467000,0,1639850,1554533,0,215274,2282078,1711176,0,19509067,2404893,21097428,0,0,0,23502321,FALSE
"68","ME","Regional School Unit No.1",NA,53402,2020,"School District",103372573,86992362,8380347,0,0,0,795540,0,6224260,0,466273,1781914,4933258,700000,32621974,3404745,36632401,0,0,0,40037146,FALSE
"69","ID","Preston School District No. 201",NA,32723,2020,"School District",4826469,0,1824006,0,0,0,3002463,0,0,0,0,215958,1999770,0,13641612,348388,15508952,0,0,0,15857340,FALSE
"70","VT","Addison Northwest School District",NA,59143,2020,"School District",13636341,10995000,1385324,0,0,7948,1144891,0,0,0,103178,180537,13105770,0,21664822,854572,34096557,0,0,0,34951129,FALSE
"71","MI","Litchfield Community Schools",NA,53884,2020,"School District",8020754,0,597687,0,509250,0,5651682,0,1190052,0,72083,22301,2573396,0,1460531,-231787,4288015,0,0,0,4056228,FALSE
"72","TX","Keene Independent School District",NA,39050,2020,"School District",20743013,11607496,1205007,592483,0,1314424,2730922,0,3530302,0,0,473891,2579396,0,12628162,-198188,15879637,0,0,0,15681449,FALSE
"73","TX","Lovejoy Independent School District",NA,53926,2020,"School District",210809840,167587245,6579674,0,3972009,0,15409080,0,17261832,0,0,3778134,7869392,369000,51827624,81823,63762327,0,0,0,63844150,FALSE
"74","FL","Florida Virtual School",NA,54105,2020,"School District",185683635,0,16708606,0,0,0,127741053,0,17947078,0,23286898,30389210,0,0,222823074,5790114,247422170,0,0,0,253212284,FALSE
"75","ME","Regional School Unit No. 13",NA,54035,2020,"School District",48346073,22768481,8793507,0,0,7933599,765700,0,7764222,0,320564,634121,7525211,0,30781672,741061,38199943,0,0,0,38941004,FALSE
"76","TX","Covington Independent School District",NA,54159,2020,"School District",4952970,467889,312288,0,0,0,1901195,0,2271598,0,0,2515637,1927887,0,4108929,436479,8115974,0,0,0,8552453,FALSE
"77","ME","Regional School Unit 23",NA,54127,2020,"School District",5926461,590000,1644237,0,0,0,948550,0,2234504,0,114483,302609,2864334,0,14863403,499003,17531343,0,0,0,18030346,FALSE
"78","TX","Kaufman Independent School District",NA,39056,2020,"School District",105769990,73728146,3125133,533306,92288,3500000,10754136,0,14036981,0,0,1054229,8713012,0,42513788,3493797,48787232,0,0,0,52281029,FALSE
"79","UT","Canyons School District",NA,54006,2020,"School District",620596696,443923089,62737985,0,0,0,93039273,0,2159034,0,1808562,12383583,94347443,0,288936191,22314834,373352383,0,0,0,395667217,FALSE
"80","PA","Slippery Rock Area School District",NA,54189,2020,"School District",56893917,0,5739405,0,0,0,42011000,0,8873677,0,258750,269496,7413590,21942,25940185,260477,33384736,0,0,0,33645213,FALSE
"81","MS","Houston School District",NA,42819,2020,"School District",26502388,0,98845,700051,0,885000,22901582,0,1713915,0,202995,492979,2892383,0,13423070,383580,16424852,0,0,0,16808432,FALSE
"82","ME","Regional School Unit 24",NA,54103,2020,"School District",15096423,6816226,1695493,1409918,0,2000001,552709,0,2442910,0,179166,181371,2614546,8350,16432474,1280389,17956352,0,0,0,19236741,FALSE
"83","ME","Regional School Unit No. 38",NA,54038,2020,"School District",13223124,6581384,1536450,0,0,307341,229202,0,4332662,0,224281,982704,2864564,0,17607108,1003569,20450807,0,0,0,21454376,FALSE
"84","IN","Sheridan Community Schools",NA,54093,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16024140,257517,15766623,0,0,0,16024140,FALSE
"85","NH","Mascenic Regional School District",NA,54231,2020,"School District",24777385,10325000,922474,56960,0,0,11196083,0,2221095,0,55773,108359,944470,560135,16088783,486104,17215643,0,0,0,17701747,FALSE
"86","OH","Archbold Area Local School District",NA,54150,2020,"School District",21995945,3263694,1363317,0,0,0,14908877,0,1234214,877114,1225843,1345524,1383158,0,13434280,-812574,16975536,0,0,0,16162962,FALSE
"87","OK","Choctaw-Nicoma Park School District No. 4",NA,54332,2020,"School District",0,24775000,0,0,0,0,0,0,0,0,0,0,0,0,58618147,303354,58314793,0,0,0,58618147,FALSE
"88","ME","Regional School Unit No.5",NA,54281,2020,"School District",31502137,22299439,3168494,128175,0,0,265031,0,5111673,0,381794,921885,3562022,0,33650388,2066931,36067364,0,0,0,38134295,FALSE
"89","OH","Groveport Community School",NA,54216,2020,"School District",5372642,0,247913,0,0,0,4805021,0,233327,315188,0,0,2616568,0,6059554,-11124,8687246,0,0,0,8676122,FALSE
"90","OK","Millwood School District No. 37",NA,54352,2020,"School District",0,3105000,0,0,0,0,0,0,0,0,0,0,0,0,12964099,2401633,10562466,0,0,0,12964099,FALSE
"91","CO","Colorado Springs School District 11",NA,32047,2020,"School District",643551540,93404406,34959317,0,0,0,435825770,0,21431066,0,3167071,6765393,40988031,825786,314527480,141210477,221896213,0,0,0,363106690,FALSE
"92","CO","School District Fremont Re-1",NA,32052,2020,"School District",101385194,27568770,14341173,4476916,0,0,51352226,0,2524853,0,1121256,908864,32362873,2343667,35575915,37397723,33793596,0,0,0,71191319,FALSE
"93","ME","Regional School Unit No.2",NA,54244,2020,"School District",40668513,0,3079026,0,0,29868537,652758,0,6135294,0,932898,837317,4423147,0,29371895,1126696,33505663,0,0,0,34632359,FALSE
"94","CO","Delta County Joint School District No. 50j",NA,32043,2020,"School District",87041425,7001598,8538878,443755,0,0,65319040,0,3188518,0,562313,5162429,10000122,5480170,40605912,18253747,42994886,0,0,0,61248633,FALSE
"95","NV","Pyramid Lake Jr_Sr High School",NA,54862,2020,"School District",2100106,0,177377,0,0,0,0,0,0,0,54581,5927,4299550,0,109308,-52656,4467441,0,0,0,4414785,FALSE
"96","OR","Fossil School District 21j",NA,85664,2020,"School District",1882338,0,129735,0,0,0,1689058,0,77667,14122,0,2593,251765,0,9778058,412845,9619571,0,0,0,10032416,FALSE
"97","CA","Lakeport Unified School District",NA,146283,2020,"School District",42525263,18226892,2863507,21601,0,0,16827647,0,823052,0,43844,265434,3298193,0,17141549,769763,19935413,0,0,0,20705176,FALSE
"98","CO","Cripple Creek-Victor School District Re-1",NA,32083,2020,"School District",14626426,5205180,1266745,0,0,0,7694277,0,378300,0,81924,110787,2502960,0,6363524,2783537,6193734,0,0,0,8977271,FALSE
"99","MI","Fruitport Community Schools",NA,34556,2020,"School District",138497496,60277521,8507499,0,0,474431,56621506,0,12200112,0,416427,915760,12417410,368923,25186543,-1374259,40262895,0,0,0,38888636,FALSE
"100","MA","Ayer Shirley Regional School District",NA,55512,2020,"School District",45241819,15319322,3187237,0,0,0,4713693,0,21649209,0,372358,898344,7798444,0,29164597,-517713,38379098,0,0,0,37861385,FALSE
"101","MS","Lowndes County School District",NA,44223,2020,"School District",150985686,43260000,4030749,4292407,0,8820000,78459672,0,4988022,0,602838,1483449,7175758,0,52693874,2737305,58615776,0,0,0,61353081,FALSE
"102","WI","Chetek-Weyerhaeuser Area School District",NA,39930,2020,"School District",2080780,228000,770378,0,0,189830,811341,1390038,0,0,81231,1173962,1741756,0,13869205,645235,16139688,0,0,0,16784923,FALSE
"103","NC","Charlotte-Mecklenburg Board of Education",NA,36608,2020,"School District",2559051000,0,136582000,0,0,0,622449000,0,1688234000,2319000,93628000,22265000,162678000,229000,1614183000,99004000,1700351000,0,0,0,1799355000,FALSE
"104","TX","Northwest Independent School District",NA,56515,2020,"School District",1457417740,1224769891,66315570,0,17108482,0,71069239,0,77074785,0,1079773,11254395,31158936,0,297301792,-5381069,345096192,0,0,0,339715123,FALSE
"105","TX","Weslaco Independent School District",NA,56662,2020,"School District",227410985,40775000,20767662,0,0,26653000,56505242,0,71268618,0,0,5222807,53350814,0,153787698,-4264397,216625716,0,0,0,212361319,FALSE
"106","OH","Heath City School District",NA,56794,2020,"School District",32577408,8655813,2490759,58472,0,0,18279901,0,1693185,1073566,1399278,2684809,1635333,837500,19882146,2059310,22980478,0,0,0,25039788,FALSE
"107","NH","Franklin School District",NA,56958,2020,"School District",17934944,2775280,1513494,0,0,0,10957348,0,2600413,0,0,112103,3271804,0,13750749,-444760,17579416,0,0,0,17134656,FALSE
"108","FL","Washington County District School Board",NA,32431,2020,"School District",47709667,0,8321569,0,0,0,26585760,0,3551494,0,4431593,10010118,2414892,133827,44320149,1048355,55830631,0,0,0,56878986,FALSE
"109","KY","Mclean County Board of Education",NA,33704,2020,"School District",18165171,8141062,309582,0,0,0,4916942,0,4425585,0,372000,238187,2263319,793456,14098909,-339975,17733846,0,0,0,17393871,FALSE
"110","VT","Two Rivers Supervisory Union",NA,57407,2020,"School District",1867623,0,735462,0,0,567090,520544,0,0,0,44527,624698,3431336,0,6059447,44703,10070778,0,0,0,10115481,FALSE
"111","CO","Elizabeth School District",NA,57430,2020,"School District",33890795,0,2546371,685518,0,0,29117482,0,1431390,0,110034,1437664,2857153,0,21738854,5106032,20927639,0,0,0,26033671,FALSE
"112","MI","Roseville Community Schools",NA,34520,2020,"School District",274165381,117645345,10949729,0,1536512,0,109755055,0,23450737,0,3419932,310833,16762621,0,46965892,-2061111,66100457,0,0,0,64039346,FALSE
"113","AL","Dothan City Board of Education",NA,91040,2020,"School District",147550252,3752000,2222004,12862254,0,0,74958000,0,35125563,0,806689,1094571,17437694,2356687,77896848,10606168,88179632,0,0,0,98785800,FALSE
"114","NJ","Secaucus Board of Education",NA,42510,2020,"School District",34092008,22180000,969801,508097,0,0,9298334,0,0,0,1072718,555344,11568922,0,38215799,1805348,48534717,0,0,0,50340065,FALSE
"115","KY","Newport Independent School District",NA,33637,2020,"School District",31241794,15794997,314866,0,0,0,8454634,0,6319390,0,357907,104938,5692362,0,14158675,-978159,20934134,0,0,0,19955975,FALSE
"116","VT","Champlain Valley School District",NA,59214,2020,"School District",46588936,35121901,2457840,0,0,1703274,6748112,0,0,0,0,1536447,52667198,0,70998318,57523,125144440,0,0,0,125201963,FALSE
"117","MI","New Haven Community Schools",NA,34517,2020,"School District",118065959,80404184,4044680,0,5799366,1500000,21325674,0,4623470,0,368585,393374,3510293,0,16111966,387373,19628260,0,0,0,20015633,FALSE
"118","CA","Lake Tahoe Unified School District",NA,146282,2020,"School District",156120832,102625686,1574510,2440590,0,0,48212859,0,0,0,495611,706657,7029728,0,44280794,-4500607,56517786,0,0,0,52017179,FALSE
"119","SD","South Central Cooperative",NA,54697,2020,"School District",229297,0,160608,0,0,0,0,4630,0,0,0,931655,914268,0,16909,-15279,1878111,0,0,0,1862832,FALSE
"120","CO","East Otero School District R-1",NA,32073,2020,"School District",25510469,0,2174556,0,3995000,0,18374064,0,903228,0,63621,465266,2872596,2617239,14493677,5895136,14553642,0,0,0,20448778,FALSE
"121","AZ","Many Farms Community School Inc",NA,55545,2020,"School District",6248994,0,6138574,0,0,0,0,0,0,0,110420,246633,8629426,0,80966,1646988,7310037,0,0,0,8957025,FALSE
"122","TX","Rice Independent School District",NA,55431,2020,"School District",31105696,24505560,493722,0,0,0,2625355,0,3481059,0,0,446812,2367873,0,11713890,1330760,13197815,0,0,0,14528575,FALSE
"123","OK","Kingston Public School District I-3",NA,84929,2020,"School District",2716738,1705000,888186,123552,0,0,0,0,0,0,0,0,0,0,16134413,530327,15604086,0,0,0,16134413,FALSE
"124","KY","Harlan County School District",NA,55864,2020,"School District",68352423,38834264,1344952,520465,0,0,15888421,0,10548065,0,179650,440605,10766614,3194357,34155364,1202526,47354414,0,0,0,48556940,FALSE
"125","KY","Harlan Independent School District",NA,56056,2020,"School District",7203916,3243192,245017,115167,0,0,1681812,0,1843105,0,75623,422056,2039828,761991,5676622,461796,8438701,0,0,0,8900497,FALSE
"126","ME","Regional School Unit No. 57",NA,56049,2020,"School District",36101245,2520000,6297527,13282840,0,6363132,547446,0,6328697,0,761603,432626,6741812,157562,40204130,167370,47368760,0,0,0,47536130,FALSE
"127","FL","Franklin County District School Board",NA,32386,2020,"School District",12765087,0,86965,55224,0,4215510,7588622,0,363565,0,455200,98966,1371578,326031,16979377,-640414,19416368,0,0,0,18775954,FALSE
"128","FL","Levy County District School Board",NA,32404,2020,"School District",43871077,1914376,1370298,0,0,0,30620979,0,2560914,0,3387222,103784,4674210,218784,54052691,66726,58982743,0,0,0,59049469,FALSE
"129","LA","Jackson Parish School Board",NA,33834,2020,"School District",79951261,8500000,3045197,0,0,0,26078226,0,41889088,0,352750,165083,3379472,0,23651623,-1437792,28633970,0,0,0,27196178,FALSE
"130","ID","Salmon School District No. 291",NA,32733,2020,"School District",2020385,0,864496,0,0,0,1155889,0,0,0,0,44524,1891505,0,5248394,788230,6396193,0,0,0,7184423,FALSE
"131","ID","Aberdeen School District 58",NA,71133,2020,"School District",13245501,11170246,825299,0,0,0,1249956,0,0,266639,0,66892,1676970,0,6434589,630072,7548379,0,0,0,8178451,FALSE
"132","KY","Mccreary County School District",NA,33703,2020,"School District",43285487,21644508,589435,1210060,0,0,11020429,0,7886867,0,408510,54001,8908406,406086,26456054,954974,34869573,0,0,0,35824547,FALSE
"133","FL","Suwannee County District School Board",NA,32426,2020,"School District",49713285,840000,1710475,0,0,0,37004664,0,3512056,0,4536817,730923,3819569,204481,56059348,-2542253,63356575,0,0,0,60814322,FALSE
"134","CA","Bonsall Unified School District",NA,57370,2020,"School District",60186571,18128967,1338615,2013400,0,0,26398797,0,5169911,0,49200,1695411,3706881,0,25839383,-577751,31819426,420841,0,0,31241675,FALSE
"135","KY","Muhlenberg County School District",NA,33719,2020,"School District",73344444,34032234,1443812,0,0,0,21393115,0,14829791,0,1645492,430468,8195138,3182425,51417945,-8725,63234701,0,0,0,63225976,FALSE
"136","NY","Gates Chili Central School District",NA,36228,2020,"School District",281659084,78543542,4775268,0,0,0,8135546,4940720,181713536,0,2384364,2018553,6661607,0,103696746,-2676433,115053339,0,0,0,112376906,FALSE
"137","WA","Wilbur School District No 200",NA,105585,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"138","NJ","Ridgefield Board of Education",NA,35722,2020,"School District",20265305,5285469,1116778,88832,0,0,12452949,0,0,0,1248779,14021413,12464248,0,24676633,3069933,48092361,0,0,0,51162294,FALSE
