"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"1","TX","Meridian Independent School District",NA,49564,2020,"School District",12910630,6230605,1085891,0,0,0,2161651,0,3432483,0,0,964104,1523809,0,5634837,-488929,8611679,0,0,0,8122750,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","GU","Guam Department of Education",NA,49402,2020,"School District",1411001490,0,25023216,161541271,0,0,457358525,0,752994530,0,14083948,582062,71545560,0,248337827,-24611151,345076600,0,0,0,320465449,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PA","Annville-Cleona School District",NA,49449,2020,"School District",68325033,26917022,3732130,106155,0,0,32841391,0,4161415,0,516865,365848,4939662,0,21100956,1489036,24917430,0,0,0,26406466,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AL","Elba City Board of Education",NA,49861,2020,"School District",10179528,0,732215,1077606,0,66949,5702000,0,2600758,0,0,530842,5219145,239534,1539352,361794,7167079,0,0,0,7528873,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CA","Rio Bravo-Greeley Union School District",NA,51579,2020,"School District",27406212,9443037,765987,0,0,0,10584872,0,1686340,0,86495,182192,2336432,0,14064241,4121649,12461216,0,0,0,16582865,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MS","Greenville Public School District",NA,35086,2020,"School District",81786998,5525000,2147695,228787,0,0,68762096,0,4786460,0,336960,424150,12268140,0,33584622,2445705,43831207,0,0,0,46276912,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WI","Waterford Graded School District Joint No.1",NA,53327,2020,"School District",31325722,10887049,5201866,0,0,13467000,0,1639850,1554533,0,215274,2282078,1711176,0,19509067,2404893,21097428,0,0,0,23502321,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ME","Regional School Unit 23",NA,54127,2020,"School District",5926461,590000,1644237,0,0,0,948550,0,2234504,0,114483,302609,2864334,0,14863403,499003,17531343,0,0,0,18030346,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MS","Houston School District",NA,42819,2020,"School District",26502388,0,98845,700051,0,885000,22901582,0,1713915,0,202995,492979,2892383,0,13423070,383580,16424852,0,0,0,16808432,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ME","Regional School Unit 24",NA,54103,2020,"School District",15096423,6816226,1695493,1409918,0,2000001,552709,0,2442910,0,179166,181371,2614546,8350,16432474,1280389,17956352,0,0,0,19236741,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","IN","Sheridan Community Schools",NA,54093,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16024140,257517,15766623,0,0,0,16024140,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CO","Delta County Joint School District No. 50j",NA,32043,2020,"School District",87041425,7001598,8538878,443755,0,0,65319040,0,3188518,0,562313,5162429,10000122,5480170,40605912,18253747,42994886,0,0,0,61248633,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MA","Ayer Shirley Regional School District",NA,55512,2020,"School District",45241819,15319322,3187237,0,0,0,4713693,0,21649209,0,372358,898344,7798444,0,29164597,-517713,38379098,0,0,0,37861385,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CO","Elizabeth School District",NA,57430,2020,"School District",33890795,0,2546371,685518,0,0,29117482,0,1431390,0,110034,1437664,2857153,0,21738854,5106032,20927639,0,0,0,26033671,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","KY","Newport Independent School District",NA,33637,2020,"School District",31241794,15794997,314866,0,0,0,8454634,0,6319390,0,357907,104938,5692362,0,14158675,-978159,20934134,0,0,0,19955975,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","AZ","Many Farms Community School Inc",NA,55545,2020,"School District",6248994,0,6138574,0,0,0,0,0,0,0,110420,246633,8629426,0,80966,1646988,7310037,0,0,0,8957025,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","WA","Wilbur School District No 200",NA,105585,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MS","New Albany Public School District",NA,35084,2020,"School District",48735692,8740000,1843498,2198710,0,710730,32885906,0,2145105,0,211743,1382089,3769937,0,17628882,-849225,23630133,0,0,0,22780908,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","OH","Columbiana Exempted Village School District",NA,82847,2020,"School District",26614576,476003,1292969,76877,0,0,11383356,0,869778,700357,731778,2351809,1457850,0,10135729,-872007,14817395,0,0,0,13945388,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","IL","Cook County School District 130",NA,32902,2020,"School District",20265557,20255221,10336,0,0,0,0,0,0,0,0,113322,11716362,0,50586881,3514906,58901659,0,0,0,62416565,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","IL","Tazewell-Mason Counties Special Education Association",NA,33141,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11792949,278876,11514073,0,0,0,11792949,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","MS","Bay St. Louis-Waveland School District",NA,35010,2020,"School District",33682505,0,327993,0,0,2495000,28894815,0,1710088,0,254609,152760,3695899,0,18089564,-1766434,23704657,0,0,0,21938223,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","WA","Chimacum School District No. 49",NA,39630,2020,"School District",656791,0,656791,0,0,0,4216795,0,0,0,0,0,0,0,15603074,-579072,16182146,0,0,0,15603074,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","WI","Wautoma Area School District",NA,40104,2020,"School District",6345023,4457626,717399,0,0,0,0,1807621,1169998,0,0,1223883,2513764,0,15709778,139106,19308319,0,0,0,19447425,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","WI","School District of Hartford Joint No.1",NA,40086,2020,"School District",12599221,9885585,2463967,40198,0,0,0,2116271,0,142072,209471,944859,4057989,0,22364612,1810261,25557199,0,0,0,27367460,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","WY","Park County School District No.1",NA,40162,2020,"School District",25006928,0,3623536,0,0,0,21035555,0,0,0,311821,282262,3029858,1484207,27439235,-2586319,34821881,0,0,0,32235562,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","WY","Fremont County School District 25",NA,40150,2020,"School District",32362315,0,1200115,0,0,0,28790307,0,1879688,0,492205,205024,7051453,2134640,40158719,-179572,49729408,0,0,0,49549836,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","IN","South Montgomery Community School Corporation",NA,43573,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26294777,-1564928,27859705,0,0,0,26294777,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","IN","Lebanon Community School Corporation",NA,43791,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,61816617,2393460,59423157,0,0,0,61816617,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","KY","Owen County School District",NA,42263,2020,"School District",36227982,1496567,566963,101211,0,0,6973123,0,5061457,0,58042,57270,8887259,373678,13688899,456330,22550776,0,1786618,0,23007106,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","IL","Vermilion Association of Special Education",NA,61700,2020,"School District",4778163,0,17858,0,0,0,230487,0,0,0,0,0,0,0,7823470,480087,7343383,0,0,0,7823470,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CA","Solana Beach School District",NA,31421,2020,"School District",212267689,135106394,5894331,6635641,0,0,54316803,0,9863998,0,450522,3644152,5662726,189316,55278148,-749671,65524013,2895694,45293,0,64774342,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","IL","Henry-Stark Counties Special Education District No. 801",NA,33007,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14389312,1990589,12398723,0,0,0,14389312,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","IL","Northwest Suburban Special Education Organization, SEJA No. 805",NA,32966,2020,"School District",20031314,0,2719189,0,0,0,3143690,0,13990539,0,177896,33830228,25756238,0,265134,-841076,60692676,0,0,0,59851600,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","NJ","School District of Roselle Park",NA,35883,2020,"School District",12341497,2800000,633734,952214,0,0,6838501,0,0,0,1117048,868464,2264155,0,41224106,1548040,42808685,0,0,0,44356725,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","WI","Unified School District of Antigo",NA,39999,2020,"School District",5100892,1140000,2963951,0,0,0,0,2855175,977466,0,19475,734585,5052600,7835,25840590,1450183,30185427,0,0,0,31635610,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","KY","Fulton Independent School District",NA,41335,2020,"School District",3811833,1073173,191590,0,0,0,1204550,0,1144984,0,197536,36465,1769985,0,3682067,73311,5415206,0,0,0,5488517,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","IL","Special Education District of Mchenry County",NA,41935,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635048,-45382,5680430,0,0,0,5635048,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","IN","Whitko Community School Corporation",NA,43413,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21046495,1895732,19150763,0,0,0,21046495,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","MS","Quitman County School District",NA,43804,2020,"School District",26132811,3865000,672523,0,488351,885000,18706776,0,1457497,0,57664,99676,3772956,0,9149264,-745719,13767615,0,0,0,13021896,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","IL","Community Consolidated School District No. 65",NA,44008,2020,"School District",75138470,75025785,112685,0,0,0,8543901,0,78271291,0,0,2289697,76000645,289800,127019266,6214786,199384622,0,0,0,205599408,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","IN","Prairie Heights Community School Corporation",NA,46665,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25230447,3622052,21608395,0,0,0,25230447,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","NJ","Caldwell-West Caldwell School District",NA,47556,2020,"School District",36271801,23837740,1267238,0,0,0,10380608,0,0,0,786215,785833,13308234,0,48530572,3490607,59134032,0,0,0,62624639,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","IN","Bremen Public Schools",NA,52740,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17666805,-49287,17716092,0,0,0,17666805,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","KY","Trimble County School District",NA,33741,2020,"School District",16210770,7440140,164633,181461,0,0,4748993,0,3533422,0,142121,195113,1925018,695680,8335265,95664,11055412,0,0,0,11151076,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","WI","School District of Delavan-Darien",NA,40081,2020,"School District",29423128,17759741,11073619,48400,0,0,379569,0,79949,0,81850,1105155,3966174,0,31770524,2553942,34287911,0,0,0,36841853,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","AZ","Nazlini Community School Inc",NA,47863,2020,"School District",67411,0,31727,0,0,0,0,0,0,0,35684,208089,3422613,0,3670,27794,3606578,0,0,0,3634372,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","OH","Garfield Heights City School District",NA,49175,2020,"School District",96345177,26183637,5979866,2881116,0,0,50190308,0,4557038,2965324,6553212,762002,7008839,0,47102653,-4374046,59247540,0,0,0,54873494,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","SD","Rock Creek Grant School",NA,47308,2020,"School District",1343867,0,1343867,0,0,0,0,0,0,0,0,0,1659934,0,39965,61992,1637907,0,0,0,1699899,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","WI","Clintonville Public School District",NA,40101,2020,"School District",6487116,2356851,1735247,120554,0,245000,119483,1940557,1877153,0,32828,912092,3828853,0,16030881,-239581,21011407,0,0,0,20771826,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","IN","Westfield Washington Schools",NA,48676,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,175387664,21394250,153993414,0,0,0,175387664,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IL","Pleasant Valley School District No. 62",NA,48477,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7756790,-135820,7892610,0,0,0,7756790,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ID","Vallivue School District No. 139",NA,32720,2020,"School District",194434653,170312000,11759366,0,0,0,12363287,0,0,0,0,910180,10188645,0,75449762,8379422,78169165,0,0,0,86548587,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","WA","Mount Baker School District No. 507",NA,48725,2020,"School District",1512292,4063500,1512292,0,0,0,8383935,0,0,0,543374,0,0,0,37110779,-4274999,41385778,0,0,0,37110779,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","NM","Central Consolidated School District",NA,42565,2020,"School District",5563192,0,2521356,63896,0,0,2193303,0,848533,26980,41419,276932,21205231,0,27475,366656,21142982,0,0,0,21509638,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","MA","Northeast Metropolitan Regional Vocational School District",NA,34211,2020,"School District",83182625,0,3529064,0,0,0,6927458,0,71838103,0,888000,1710300,6839566,148680,26504417,-5915198,41118161,0,0,0,35202963,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","WI","School District of West Salem",NA,45091,2020,"School District",29354490,26277606,943440,612791,0,0,0,2764590,1408338,0,112315,746273,2855282,0,23400242,938964,26062833,0,0,0,27001797,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","MS","Moss Point School District",NA,35024,2020,"School District",48130673,2387650,3369414,0,0,3452490,36458484,0,2307120,0,155515,1301429,5194567,0,20258614,-2492951,29247561,0,0,0,26754610,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","MN","Bemidji Regional Interdistrict Council No. 998",NA,34809,2020,"School District",6398384,0,613557,0,0,0,5457521,0,259498,0,0,5690730,2457073,0,56483,-165938,8370224,0,0,0,8204286,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","MO","Camdenton R-III School District",NA,35185,2020,"School District",0,85150000,0,0,0,0,0,0,0,0,0,1184028,9221240,296014,45928629,854144,55775769,0,0,0,56629913,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","MN","Independent School District No. 706",NA,34896,2020,"School District",171431224,154614533,4376401,0,0,0,12440290,0,0,806172,0,850747,6251709,825523,21081680,-3213142,32222801,0,0,0,29009659,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","WI","School District of Thorp",NA,65094,2020,"School District",6719988,4975502,565569,0,0,1178917,0,761878,0,0,0,613094,1551839,0,7070020,-39854,9274807,0,0,0,9234953,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","WA","Newport Consolidated Joint School District No. 56-415",NA,39663,2020,"School District",15033,2657105,15033,19994,0,0,4577269,0,0,0,267652,0,0,0,17274868,1008793,16266075,0,0,0,17274868,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","MN","Independent School District No. 2365",NA,65168,2020,"School District",12232738,1375000,950331,1404200,2000000,0,5622470,0,880737,0,0,506532,1888026,0,8453124,-427244,11274926,0,0,0,10847682,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","NJ","Paulsboro Board of Education",NA,35793,2020,"School District",9638644,2557000,1298914,274460,0,0,4715548,0,0,0,792722,1396869,6450274,0,21483959,1943788,27387314,0,0,0,29331102,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","WI","School District of Cadott Community",NA,65504,2020,"School District",10859894,9336814,1523080,0,0,0,0,1117023,0,174891,0,610204,1656521,0,12213653,813558,13666820,0,0,0,14480378,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","NY","Cattaraugus-Little Valley Central School District",NA,36123,2020,"School District",36746817,31621216,1164220,0,0,0,2014477,1005134,1369454,0,521450,62598,1646629,0,24824162,635574,25897815,0,0,0,26533389,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","NJ","School District of Lakehurst",NA,35855,2020,"School District",2503122,461000,79894,0,0,0,1882381,0,0,0,79847,248755,1523050,0,9631670,1038826,10364649,0,0,0,11403475,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","VT","Montpelier Roxbury School District",NA,66224,2020,"School District",11064279,8198780,1842416,0,0,0,908847,0,0,0,114236,402228,7933379,0,20339369,1571807,27103169,0,0,0,28674976,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","NY","Salamanca City Central School District",NA,36128,2020,"School District",44150978,15347432,22601355,0,0,0,3238177,1913908,1194014,0,1770000,15226658,3141332,918930,40299545,20090581,39495884,0,0,0,59586465,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","PA","School District of Borough of Brentwood",NA,54277,2020,"School District",48274395,9590000,2923162,153160,0,0,31625000,0,3470027,0,513046,204224,4857029,0,19776525,1809080,23028698,0,0,0,24837778,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","NY","Nyack Union Free School District",NA,36361,2020,"School District",117694316,16399693,8021054,0,0,0,2517837,5539456,89759082,0,145794,346624,2817859,0,86107780,-3716347,92988610,0,0,0,89272263,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","NY","North Tonawanda City School District",NA,36288,2020,"School District",74586342,34668629,5552211,0,0,16240000,4574925,4129103,10967135,0,2583442,321941,4279396,0,74464329,1631949,77433717,0,0,0,79065666,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","OH","Wellsville Local School District",NA,37041,2020,"School District",15812978,122590,1424744,2352345,0,0,10423341,0,955175,598332,534783,1056041,1918211,0,10200803,-1330083,14505138,0,0,0,13175055,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","OK","Broken Arrow Public School District No.I-003",NA,37496,2020,"School District",207665085,93445290,2743878,0,0,0,111231171,0,0,0,0,5437330,12300088,0,172894673,28169705,162462385,550081,0,0,190632091,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","PA","Donegal School District",NA,38035,2020,"School District",121747351,42655969,6468898,0,0,0,65682782,0,5515417,0,233162,706748,11873646,51000,41949358,1745243,52835509,0,0,0,54580752,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
