"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"912","AL","Selma City Board of Education",NA,30332,2020,"School District",72806810,23942934,2368829,0,0,0,28508000,0,12129524,0,0,1779047,26229716,1893985,5951035,2453501,33400282,0,0,0,35853783,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913","WI","Freedom Area School District",NA,47605,2020,"School District",9239065,0,727627,0,0,855000,0,1935348,7574738,0,81700,1609950,1608813,0,17463907,-813426,21496096,0,0,0,20682670,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","AL","Lanett City Board of Education",NA,30315,2020,"School District",13995370,0,1843596,417558,0,0,8109000,0,3609030,0,16186,575967,7803096,321056,2098133,1315501,9482751,0,0,0,10798252,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","AR","Farmington School District No. 6",NA,98682,2020,"School District",99161,43121399,99161,0,0,0,17833074,0,0,0,0,0,0,0,55596174,-1756275,57352449,0,0,0,55596174,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916","AL","Tallapoosa County Board of Education",NA,30387,2020,"School District",76021152,0,2724196,0,0,1035334,23551000,0,10776119,0,0,2190220,18744413,973097,11332577,3114503,30125804,0,0,0,33240307,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"917","CA","Paradise Elementary School District",NA,146489,2020,"School District",2778333,305000,285295,0,0,0,1821623,0,366415,0,0,138851,202989,793,2149141,-48034,2539808,0,0,0,2491774,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918","CA","Hornbrook Elementary School District",NA,146218,2020,"School District",874761,0,69783,0,0,0,804978,0,0,0,0,47013,177191,0,951126,170970,1004360,0,0,0,1175330,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919","CA","Merced River Union Elementary School District",NA,146374,2020,"School District",3711371,0,117255,0,0,0,1702087,0,0,0,0,13019,292071,0,2724823,298790,2731123,0,0,0,3029913,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920","CA","Montague Elementary School District",NA,146390,2020,"School District",2143818,0,182463,356591,0,0,1560376,0,0,0,0,93760,445867,0,1904175,277193,2166609,0,0,0,2443802,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921","CA","Mccloud Union Elementary School District",NA,146363,2020,"School District",840018,0,57394,0,0,0,782624,0,0,0,0,82369,344952,0,797170,55746,1168745,0,0,0,1224491,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
