"","state","name","census_id","id","ncesID","is_city","is_county","is_intergovernmental","is_special_district","is_state","is_tribal","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","component_unit_of_id"
"391","NY","Naples Central School District",NA,225462,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",52719277,18364547,1975967,0,0,0,996406,0,27972748,0,3409609,39568,1124468,0,20699031,354884,21508183,0,0,0,21863067,FALSE,NA
"392","NY","Lake George Central School District",NA,225438,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",84414799,6585000,1720957,0,0,568600,1422568,0,73234582,0,883092,84965,753819,0,23230340,-3233487,27302611,0,0,0,24069124,FALSE,NA
"393","NY","Lake Placid Central School District",NA,225439,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",83863571,110000,694509,599065,0,17106641,62346781,0,1105639,0,1130876,17320,1215108,0,20288411,-3442603,24963442,0,0,0,21520839,FALSE,NA
"394","NY","Manchester-Shortsville Central School District",NA,82299,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",17733947,11951397,1056411,0,0,0,924095,0,2465441,0,186603,404054,1138420,72856,18741560,866656,19490234,0,0,0,20356890,FALSE,NA
"395","NY","Marion Central School District",NA,225452,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",42386560,5872544,1014437,0,0,0,968568,0,33559023,0,971988,261803,1094097,0,20375479,2626811,19104568,0,0,0,21731379,FALSE,NA
"396","NY","Letchworth Central School District",NA,225441,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",16198798,10112112,1238977,0,0,0,1174757,0,3095945,0,577007,899565,1619711,102000,20009892,-740162,23371330,0,0,0,22631168,FALSE,NA
"397","NY","Lisbon Central School District",NA,225443,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",52103970,5358264,722060,0,0,0,628566,0,44613277,0,348967,285832,1224678,0,12700219,-685474,14896203,0,0,0,14210729,FALSE,NA
"398","NY","Lyndonville Central School District",NA,225446,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",15964913,7855000,1335773,0,0,0,856526,0,5893492,0,24122,53663,1354925,0,14991860,327227,16073221,0,0,0,16400448,FALSE,NA
"399","NY","Madison Central School District",NA,225447,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",41296671,9268948,863662,0,0,0,523562,0,29421047,0,203282,16477,1384680,0,10386482,-352977,12140616,0,0,0,11787639,FALSE,NA
"400","NY","Morisville-Eaton Central School District",NA,225457,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",67852090,12577917,618028,0,0,1847400,768931,0,51709853,0,329961,28523,1110948,292527,17371498,-1125080,19928576,0,0,0,18803496,FALSE,NA
"401","NY","Morristown Central School District",NA,225459,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",37167844,860000,363894,0,0,0,414711,0,35322807,0,206432,38936,747312,0,10097893,-158006,11042147,0,0,0,10884141,FALSE,NA
"402","NY","Madrid-Waddington Central School District",NA,225448,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",52523883,4155000,6444,0,0,3500000,792418,0,42634957,0,292397,19812,1605566,0,15153394,1706712,15072060,0,0,0,16778772,FALSE,NA
"403","NY","Otsego-Northern Catskill Boces",NA,64983,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,NA
"404","NY","Pavilion Central School District",NA,225478,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,NA
"405","NY","North Collins Central School District",NA,225469,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",12913918,9031105,1158358,0,0,0,845264,0,1709191,0,170000,125594,1308374,0,14197264,-518061,16149293,0,0,0,15631232,FALSE,NA
"406","NY","Oakfield-Alabama Central School District",NA,167068,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",24044827,14615114,1494630,0,0,500000,1088591,0,5455322,0,891170,128034,998210,14674,20086500,961828,20265590,0,0,0,21227418,FALSE,NA
"407","NY","Sackets Harbor Central School District",NA,225500,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",44127906,1281479,384450,0,0,5895000,452090,0,36065194,0,49693,10629,681405,0,9198140,-747774,10637948,0,0,0,9890174,FALSE,NA
"408","NY","Oxford Academy and Central School District",NA,56482,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",44985776,9921779,2367605,0,0,10081000,977574,0,21107842,0,529976,32172,1140396,0,18205240,361055,19016753,0,0,0,19377808,FALSE,NA
"409","NY","Sherman Central School District",NA,225507,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",11116891,7369382,533990,0,0,665000,630665,0,679770,0,1238084,59273,1578078,0,9616976,436630,10817697,0,0,0,11254327,FALSE,NA
"410","NY","Prattsburgh Central School District",NA,225487,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",28695535,2315000,1247414,0,0,5005000,479560,0,19498561,0,0,6888,773642,0,9707628,1023715,9464443,0,0,0,10488158,FALSE,NA
"411","NY","Rhinebeck Central School District",NA,225492,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",193511538,22166285,2101187,0,0,0,1975142,0,165996168,0,1177721,74194,845393,0,35282379,-10330065,46532031,0,0,0,36201966,FALSE,NA
"412","NY","Romulus Central School District",NA,225496,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",20829374,3650646,673251,0,0,6435000,608076,0,9293847,0,168554,52126,704197,0,12735304,1305300,12186327,0,0,0,13491627,FALSE,NA
"413","NY","Weedsport Central School District",NA,225550,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",44724758,22590179,1007647,0,0,0,1161066,0,18178651,0,17215,36903,885700,0,19361721,-105294,20389618,0,0,0,20284324,FALSE,NA
