"","id","state","name","ncesID","nces_original_name","students"
"4751","36397","NY","Amityville Union Free School District","3602940","AMITYVILLE UNION FREE SCHOOL DISTRICT","3201"
"4752","400558","NY","Ardsley Union Free School District","3603180","ARDSLEY UNION FREE SCHOOL DISTRICT","2314"
"4753","36162","NY","Arlington Central School District","3603270","ARLINGTON CENTRAL SCHOOL DISTRICT","8123"
"4754","36480","NY","Attica Central School District","3603420","ATTICA CENTRAL SCHOOL DISTRICT","1213"
"4755","36131","NY","Auburn Enlarged City School District","3603480","AUBURN CITY SCHOOL DISTRICT","4196"
"4756","57044","NY","Ausable Valley Central School District","3616170","AUSABLE VALLEY CENTRAL SCHOOL DISTRICT","1163"
"4757","36357","NY","Averill Park Central School District","3600016","AVERILL PARK CENTRAL SCHOOL DISTRICT","2704"
"4758","399926","NY","Babylon Union Free School District","3603720","BABYLON UNION FREE SCHOOL DISTRICT","1581"
"4759","64980","NY","Bainbridge-Guilford Central School District","3603810","BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT","811"
"4760","45330","NY","Baldwin Union Free School District","3603840","BALDWIN UNION FREE SCHOOL DISTRICT","4593"
"4761","36307","NY","Baldwinsville Central School District","3603870","BALDWINSVILLE CENTRAL SCHOOL DISTRICT","5465"
"4762","36372","NY","Ballston Spa Central School District","3603930","BALLSTON SPA CENTRAL SCHOOL DISTRICT","4087"
"4763","36200","NY","Batavia City School District","3603990","BATAVIA CITY SCHOOL DISTRICT","2294"
"4764","36389","NY","Bath Central School District","3604050","BATH CENTRAL SCHOOL DISTRICT","1508"
"4765","36401","NY","Bay Shore Union Free School District","3604080","BAY SHORE UNION FREE SCHOOL DISTRICT","6049"
"4766","36416","NY","Bayport-Blue Point Union Free School District","3604110","BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT","2110"
"4767","36163","NY","Beacon City School District","3604140","BEACON CITY SCHOOL DISTRICT","2875"
"4768","36218","NY","Beaver River Central School District","3604200","BEAVER RIVER CENTRAL SCHOOL DISTRICT","920"
"4769","36465","NY","Bedford Central School District","3619950","BEDFORD CENTRAL SCHOOL DISTRICT","3904"
"4770","36148","NY","Beekmantown Central School District","3604290","BEEKMANTOWN CENTRAL SCHOOL DISTRICT","2029"
"4771","399930","NY","Bellmore Union Free School District","3604410","BELLMORE UNION FREE SCHOOL DISTRICT","1037"
