Quantitative Research Methods I & II,8,
Quantitative Research Methods,5,
Capstone project in Data Science,4,
Formal Theory and Methodologies,5,
Data Science with R ,3,
Communicating and Transforming Data,3,
Data Visualization,3,
Functional Programming for Data Science,3,
Machine learning,3,
Multi Regression and Data Science,3,
Hierarchical Linear Modeling I & II,6,
Social Network Analysis,5,
Structural Equation Modeling I & II,4,
Advanced Research Methods,3,
,58,110
