"","ncesID","nces_original_name","county_name","city","state","students"
"2385","1700175","Clk/Cls/Cmbn/Dglas/Edgr/Mltr/Shlb","Coles County","Charleston","IL",162
"2386","2709420","CLOQUET PUBLIC SCHOOL DISTRICT","Carlton County","CLOQUET","MN",2681
"2387","3403390","Closter Public School District","Bergen County","Closter","NJ",1213
"2388","3500540","CLOUDCROFT MUNICIPAL SCHOOLS","Otero County","CLOUDCROFT","NM",419
"2389","5301410","Clover Park School District","Pierce County","LAKEWOOD","WA",13761
"2390","1802220","Cloverdale Community Schools","Putnam County","Cloverdale","IN",1101
"2391","0608970","Cloverdale Unified","Sonoma County","Cloverdale","CA",1383
"2392","3904848","Cloverleaf Local","Medina County","Lodi","OH",2315
"2393","2101290","Cloverport Independent","Breckinridge County","Cloverport","KY",340
"2394","3500570","CLOVIS MUNICIPAL SCHOOLS","Curry County","CLOVIS","NM",8115
"2395","0609030","Clovis Unified","Fresno County","Clovis","CA",43654
"2396","4814450","CLYDE CISD","Callahan County","CLYDE","TX",1460
"2397","3910020","Clyde-Green Springs Exempted Village","Sandusky County","Clyde","OH",2173
"2398","3607860","CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT","Wayne County","CLYDE","NY",816
"2399","3607890","CLYMER CENTRAL SCHOOL DISTRICT","Chautauqua County","CLYMER","NY",436
"2400","0609070","Coachella Valley Unified","Riverside County","Thermal","CA",17657
"2401","2801110","COAHOMA COUNTY SCHOOL DISTRICT","Coahoma County","CLARKSDALE","MS",1173
"2402","2801100","COAHOMA EARLY COLLEGE","Coahoma County","CLARKSDALE","MS",267
"2403","4814490","COAHOMA ISD","Howard County","COAHOMA","TX",1125
"2404","1710530","Coal City CUSD 1","Grundy County","Coal City","IL",2174
"2405","4008130","COALGATE","Coal County","Coalgate","OK",646
"2406","0609120","Coalinga-Huron Unified","Fresno County","Coalinga","CA",4510
"2407","0600049","Coast Unified","San Luis Obispo County","Cambria","CA",582
"2408","4206240","Coatesville Area SD","Chester County","Thorndale","PA",5483
"2409","1301290","Cobb County","Cobb County","Marietta","GA",112097
"2410","1710570","Cobden SUD 17","Union County","Cobden","IL",528
"2411","3600010","COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT","Schoharie County","COBLESKILL","NY",1639
"2412","3500600","COBRE CONSOLIDATED SCHOOLS","Grant County","BAYARD","NM",1226
"2413","4206270","Cocalico SD","Lancaster County","Denver","PA",2979
"2414","0402130","Cochise Elementary District (4177)","Cochise County","COCHISE","AZ",88
"2415","5502700","Cochrane-Fountain City School District","Buffalo County","Fountain City","WI",607
"2416","4700750","Cocke County","Cocke County","Newport","TN",4515
"2417","0400163","Coconino County Accommodation School District (10386)","Coconino County","FLAGSTAFF","AZ",104
"2418","3105280","CODY-KILGORE PUBLIC SCHS","Cherry County","CODY","NE",164
"2419","3307330","Coe Brown Academy School District","Rockingham County","Northwood","NH",690
"2420","5900071","Coeur d' Alene Tribal School","Benewah County","Desmet","ID",104
"2421","1600780","COEUR D'ALENE DISTRICT","Kootenai County","COEUR D'ALENE","ID",11017
