"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"91","KS","Northwest Kansas Educational Service Center Interlocal District No. 602",NA,33524,2021,"School District",0,0,0,60842,0,0,893270,0,0,0,88005,0,0,0,15409898,183755,15226143,0,0,0,15409898,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","KS","Prairie Hills Unified School District 113",NA,224293,2021,"School District",0,3685000,0,0,0,0,10397194,0,0,0,0,0,0,0,181760887,164391858,17369029,0,0,0,181760887,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","KS","Baldwin City Unified School District No 348",NA,224277,2021,"School District",0,18620000,0,1992599,0,0,11811930,0,0,0,0,0,0,0,23726425,3531,23722894,0,0,0,23726425,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","KS","Pratt Unified School District No. 382",NA,224294,2021,"School District",0,8730000,0,4219642,0,0,9665468,0,82149,0,0,0,0,0,21363391,1022724,20340667,0,0,0,21363391,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","KS","Fairfield Unified School District No. 310",NA,224284,2021,"School District",0,6659541,0,62968,0,0,3774223,0,0,0,0,0,0,0,7859768,74272,7785496,0,0,0,7859768,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","KS","Santa Fe Trail Unified School District No. 434",NA,224297,2021,"School District",0,2855000,0,723503,0,0,9295233,0,0,0,0,0,0,0,20021088,1191282,18829806,0,0,0,20021088,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","KS","Rice County Unified School District No. 376",NA,224295,2021,"School District",0,20505000,0,33500,0,0,4944252,0,0,0,0,0,0,0,26786316,165171,26621145,0,0,0,26786316,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","KS","Chapman Unified School District No. 473",NA,224279,2021,"School District",0,5140000,0,0,0,0,9908231,0,0,0,0,0,0,0,18950402,532861,18417541,0,0,0,18950402,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","KS","Unified School District 483 Kismet-Plains Ks",NA,224311,2021,"School District",0,0,0,1311623,0,0,8026350,0,0,0,72004,0,0,0,13636764,231653,13405111,0,0,0,13636764,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","KS","Unified School District 235",NA,224303,2021,"School District",0,2600000,0,340000,0,0,4717031,0,0,0,17378,0,0,0,9141580,17264,9124316,0,0,0,9141580,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
